Word|Definition|Sentence|Mnemonic|Tag
a|字母A；第一流的；学业成绩达最高标准的评价符号安（ampere）|The a is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
abandon|放任；狂热遗弃；放弃|The abandon is very important in daily life.|ab- 表示“离开、否定”，如 abandon（放弃）|Gaokao-Core
ability|能力，能耐；才能|She bought a new ability yesterday.|ab- 表示“离开、否定”，如 abandon（放弃）|Gaokao-Core
able|能； 有能力的；能干的|It was a very able day.|ab- 表示“离开、否定”，如 abandon（放弃）|Gaokao-Core
abnormal|反常的，不规则的；变态的|It was a very abnormal day.|ab- 表示“离开、否定”，如 abandon（放弃）|Gaokao-Core
aboard|在…上在飞机上； 在船上；在火车上|She finished her homework aboard.|ab- 表示“离开、否定”，如 abandon（放弃）|Gaokao-Core
about|关于；大约大致；粗枝大叶；不拘小节的人在附近的；四处走动的；在起作用的大约；周围；到处|This about helps us understand the world better.|ab- 表示“离开、否定”，如 abandon（放弃）|Gaokao-Core
above|超过；在……上面；在……之上上文上文的在上面；在上文|This above helps us understand the world better.|ab- 表示“离开、否定”，如 abandon（放弃）|Gaokao-Core
abroad|海外；异国往国外的在国外；到海外|She bought a new abroad yesterday.|ab- 表示“离开、否定”，如 abandon（放弃）|Gaokao-Core
absence|没有；缺乏；缺席；不注意|She bought a new absence yesterday.|ab- 表示“离开、否定”，如 abandon（放弃）|Gaokao-Core
absent|缺席的；缺少的；心不在焉的；茫然的使缺席|He always absents on weekends.|ab- 表示“离开、否定”，如 abandon（放弃）|Gaokao-Core
absolute|绝对；绝对事物绝对的；完全的；专制的|She bought a new absolute yesterday.|ab- 表示“离开、否定”，如 abandon（放弃）|Gaokao-Core
absorb|吸收；吸引；承受；理解；使…全神贯注|They absorb together every morning.|ab- 表示“离开、否定”，如 abandon（放弃）|Gaokao-Core
abstract|摘要；抽象；抽象的概念抽象的；深奥的摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉i. 做摘要；写梗概|She bought a new abstract yesterday.|ab- 表示“离开、否定”，如 abandon（放弃）|Gaokao-Core
academic|大学生，大学教师；学者学术的；理论的；学院的|The academic is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
accent|口音；重音；强调；特点；重音符号强调；重读；带…口音讲话|She bought a new accent yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
accept|i. 承认；同意；承兑接受；承认；承担；承兑；容纳|Don't accepted your time on useless things.|联想记忆：结合语境多读多用！|Gaokao-Core
acceptable|可接受的；合意的；可忍受的|She felt acceptable after the long journey.|联想记忆：结合语境多读多用！|Gaokao-Core
access|进入；使用权；通路使用；存取；接近|The access is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
accident|事故；意外； 意外事件；机遇|She bought a new accident yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
accidental|次要方面；非主要的特性；临时记号意外的；偶然的；附属的；临时记号的|She bought a new accidental yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
accommodation|住处，膳宿；调节；和解；预订铺位|The accommodation is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
accompany|陪伴，伴随；伴奏i. 伴奏，伴唱|Don't accompanyed your time on useless things.|联想记忆：结合语境多读多用！|Gaokao-Core
accomplish|完成；实现；达到|He always accomplishs on weekends.|联想记忆：结合语境多读多用！|Gaokao-Core
according|相符的；一致的；相应的；和谐的；调和的依照；根据；按照给予( accord的现在分词 )；使和谐一致；使符合；使适合|She felt according after the long journey.|联想记忆：结合语境多读多用！|Gaokao-Core
account|账户；解释；账目，账单；理由；描述认为；把…视为i. 解释；导致；报账|She bought a new account yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
accountant|会计师；会计人员|She bought a new accountant yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
accuracy|精确度，准确性|The accuracy is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
accuse|控告，指控；谴责；归咎于i. 指责；控告|He always accuses on weekends.|联想记忆：结合语境多读多用！|Gaokao-Core
accustomed|使习惯于（accustom的过去分词）习惯的；通常的；独有的|The movie was quite accustomed.|联想记忆：结合语境多读多用！|Gaokao-Core
ache|疼痛i. 疼痛；渴望|She bought a new ache yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
achieve|取得；获得；实现；成功i. 达到预期的目的，实现预期的结果，如愿以偿|He always achieves on weekends.|联想记忆：结合语境多读多用！|Gaokao-Core
achievement|成就；完成；达到；成绩|She bought a new achievement yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
acid|酸；<俚>迷幻药酸的；讽刺的；刻薄的|This acid helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
acknowledge|承认；答谢；报偿；告知已收到|Don't acknowledgeed your time on useless things.|联想记忆：结合语境多读多用！|Gaokao-Core
acquire|获得；取得；学到；捕获|They acquire together every morning.|联想记忆：结合语境多读多用！|Gaokao-Core
across|穿过；横穿横过；在对面|She finished her homework across.|联想记忆：结合语境多读多用！|Gaokao-Core
act|行为，行动；法令，法案；（戏剧，歌剧的）一幕，段；装腔作势扮演；装作，举动像i. 行动；扮演，充当；表现，举止；假装，演戏；起作用，见效|She bought a new act yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
action|行动；活动；功能；战斗；情节|This action helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
active|主动语态；积极分子积极的；活跃的；主动的；有效的；现役的|She bought a new active yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
activity|活动；行动；活跃|The activity is very important in daily life.|联想记忆：结合语境多读多用！|Gaokao-Core
actor|男演员；行动者；作用物|She bought a new actor yesterday.|联想记忆：结合语境多读多用！|Gaokao-Core
actress|女演员|This actress helps us understand the world better.|联想记忆：结合语境多读多用！|Gaokao-Core
actual|真实的，实际的；现行的，目前的|She felt actual after the long journey.|联想记忆：结合语境多读多用！|Gaokao-Core
adapt|i. 适应使适应；改编|Don't adapted your time on useless things.|ad- 表示“朝向”，常变为 a-, ac-, af- 等，如 accept（接受）|Gaokao-Core
add|加法，加法运算i. 加；增加；加起来；做加法增加，添加；补充说；计算…总和|She bought a new add yesterday.|ad- 表示“朝向”，常变为 a-, ac-, af- 等，如 accept（接受）|Gaokao-Core
addition|添加； 加法；增加物|This addition helps us understand the world better.|ad- 表示“朝向”，常变为 a-, ac-, af- 等，如 accept（接受）|Gaokao-Core
additional|附加的，额外的|It was a very additional day.|ad- 表示“朝向”，常变为 a-, ac-, af- 等，如 accept（接受）|Gaokao-Core
address|地址；演讲；致辞；说话的技巧；称呼演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理|She bought a new address yesterday.|ad- 表示“朝向”，常变为 a-, ac-, af- 等，如 accept（接受）|Gaokao-Core
adequate|充足的；适当的；胜任的|The movie was quite adequate.|ad- 表示“朝向”，常变为 a-, ac-, af- 等，如 accept（接受）|Gaokao-Core
adjust|调整，使…适合；校准i. 调整，校准；适应|He always adjusts on weekends.|ad- 表示“朝向”，常变为 a-, ac-, af- 等，如 accept（接受）|Gaokao-Core
administration|管理；行政；实施；行政机构|This administration helps us understand the world better.|ad- 表示“朝向”，常变为 a-, ac-, af- 等，如 accept（接受）|Gaokao-Core
admire|钦佩；赞美i. 钦佩；称赞|He always admires on weekends.|ad- 表示“朝向”，常变为 a-, ac-, af- 等，如 accept（接受）|Gaokao-Core
admission|承认；入场费；进入许可；坦白；录用|This admission helps us understand the world better.|ad- 表示“朝向”，常变为 a-, ac-, af- 等，如 accept（接受）|Gaokao-Core
admit|i. 承认；容许承认；准许进入；可容纳|He always admits on weekends.|ad- 表示“朝向”，常变为 a-, ac-, af- 等，如 accept（接受）|Gaokao-Core
adopt|i. 采取；过继采取；接受；收养；正式通过|They adopt together every morning.|ad- 表示“朝向”，常变为 a-, ac-, af- 等，如 accept（接受）|Gaokao-Core
adult|成年人成年的；成熟的|This adult helps us understand the world better.|ad- 表示“朝向”，常变为 a-, ac-, af- 等，如 accept（接受）|Gaokao-Core
advance|发展；前进；增长；预付款预先的；先行的提出；预付；使……前进；将……提前i. 前进；进展；上涨|She bought a new advance yesterday.|ad- 表示“朝向”，常变为 a-, ac-, af- 等，如 accept（接受）|Gaokao-Core
advanced|先进的；高级的；晚期的；年老的前进；增加；上涨（advance的过去式和过去分词形式）|She felt advanced after the long journey.|ad- 表示“朝向”，常变为 a-, ac-, af- 等，如 accept（接受）|Gaokao-Core
advancement|前进，进步；提升|The advancement is very important in daily life.|ad- 表示“朝向”，常变为 a-, ac-, af- 等，如 accept（接受）|Gaokao-Core
advantage|优势；利益；有利条件有利于；使处于优势i. 获利|She bought a new advantage yesterday.|ad- 表示“朝向”，常变为 a-, ac-, af- 等，如 accept（接受）|Gaokao-Core
