正面 (Word),背面释义 (Definition),例句 (Sentence),词根/助记 (Mnemonic),难度标签 (Tag)
amaze,vt. 使吃惊,待补充,待补充,高考英语词汇
ambition,"n. 野心，雄心；抱负，志向
vt. 追求；有…野心",待补充,待补充,高考英语词汇
ambulance,n.  救护车；战时流动医院,待补充,待补充,高考英语词汇
among,prep. 在…中间；在…之中,待补充,待补充,高考英语词汇
amount,"n. 数量；总额，总数
vi. 总计，合计；相当于；共计；产生…结果",待补充,待补充,高考英语词汇
amuse,vt. 娱乐；消遣；使发笑；使愉快,待补充,待补充,高考英语词汇
amusement,n. 消遣，娱乐；乐趣,待补充,待补充,高考英语词汇
an,art. 一（在元音音素前）,待补充,待补充,高考英语词汇
analysis,n. 分析；分解；验定,待补充,待补充,高考英语词汇
analyze,vt. 对…进行分析，分解（等于analyse）,待补充,待补充,高考英语词汇
ancestor,n. 始祖，祖先；被继承人,待补充,待补充,高考英语词汇
ancient,"n. 古代人；老人
adj. 古代的；古老的，过时的；年老的",待补充,待补充,高考英语词汇
and,conj. 和，与；就；而且；但是；然后,待补充,待补充,高考英语词汇
anger,"n. 怒，愤怒；忿怒
vt. 使发怒，激怒；恼火
vi. 发怒；恼火",待补充,待补充,高考英语词汇
angle,"n. 角度，角，方面
vi. 钓鱼；谋取",待补充,待补充,高考英语词汇
angry,adj. 生气的；愤怒的；狂暴的；（伤口等）发炎的,待补充,待补充,高考英语词汇
animal,"n. 动物
动物的",待补充,待补充,高考英语词汇
ankle,n. 踝关节，踝,待补充,待补充,高考英语词汇
anniversary,n. 周年纪念日,待补充,待补充,高考英语词汇
announce,"vt. 宣布；述说；预示；播报
vi. 宣布参加竞选；当播音员",待补充,待补充,高考英语词汇
announcement,n. 公告；宣告；发表；通告,待补充,待补充,高考英语词汇
announcer,n.  广播员；宣告者,待补充,待补充,高考英语词汇
annoy,"n. 烦恼（等于annoyance）
vt. 骚扰；惹恼；打搅
vi. 惹恼；令人讨厌；打搅",待补充,待补充,高考英语词汇
annual,"n. 年刊，年鉴；一年生植物
adj. 年度的；每年的",待补充,待补充,高考英语词汇
another,"prep. 另一个；另一个人
adj. 又一，另一；另外的；不同的
pron. 另一个；又一个",待补充,待补充,高考英语词汇
answer,"n. 回答；答案；答辩
vt. 回答；符合
vi. 回答；符合",待补充,待补充,高考英语词汇
ant,n. 蚂蚁,待补充,待补充,高考英语词汇
antipollution,adj. 防止环境污染的，防污染的; 反污染,待补充,待补充,高考英语词汇
anxious,adj. 焦虑的；担忧的；渴望的；急切的,待补充,待补充,高考英语词汇
any,"adj. 任何的；所有的；丝毫
pron. 任何；任何一个；若干
adv. 稍微；少许",待补充,待补充,高考英语词汇
