正面 (Word),背面释义 (Definition),例句 (Sentence),词根/助记 (Mnemonic),难度标签 (Tag)
auto,"n. 汽车（等于automobile）；自动
vi. 乘汽车",待补充,待补充,高考英语词汇
automatic,"n. 自动机械；自动手枪
adj. 自动的；无意识的；必然的",待补充,待补充,高考英语词汇
autumn,"n. 秋天；成熟期；渐衰期，凋落期
adj. 秋天的，秋季的",待补充,待补充,高考英语词汇
available,adj. 可获得的；可购得的；可找到的；有空的,待补充,待补充,高考英语词汇
avenue,n. 大街；林荫大道；(达到某物的)途径，手段，方法，渠道,待补充,待补充,高考英语词汇
average,"n. 平均；平均数；海损
adj. 平均的；普通的；通常的
vt. 算出…的平均数；将…平均分配；使…平衡
vi. 平均为；呈中间色",待补充,待补充,高考英语词汇
avoid,vt. 避免；避开，躲避；消除,待补充,待补充,高考英语词汇
await,vt. 等候，等待；期待,待补充,待补充,高考英语词汇
awake,"adj. 醒着的
vt. 唤醒；使觉醒；激起，唤起
vi. 觉醒，意识到；醒来；被唤起",待补充,待补充,高考英语词汇
awaken,"vt. 唤醒；唤起；使…意识到
vi. 觉醒；醒来；意识到",待补充,待补充,高考英语词汇
award,"n. 奖品；判决
vt. 授予；判定",待补充,待补充,高考英语词汇
aware,adj. 意识到的；知道的；有…方面知识的；懂世故的,待补充,待补充,高考英语词汇
away,adv. 离去，离开；在远处,待补充,待补充,高考英语词汇
awful,adj. 可怕的；极坏的；使人敬畏的,待补充,待补充,高考英语词汇
awkward,adj. 尴尬的；笨拙的；棘手的；不合适的,待补充,待补充,高考英语词汇
baby,"n. 婴儿，婴孩；孩子气的人
adj. 婴儿的；幼小的
vt. 纵容，娇纵；把……当婴儿般对待",待补充,待补充,高考英语词汇
back,"n. 后面；背部；靠背；足球等的后卫；书报等的末尾
adj. 后面的；过去的；拖欠的
vt. 支持；后退；背书；下赌注
adv. 以前；向后地；来回地；上溯；回来；回原处
vi. 后退；背靠；倒退",待补充,待补充,高考英语词汇
background,"n. 背景；隐蔽的位置
adj. 背景的；发布背景材料的
vt. 作…的背景",待补充,待补充,高考英语词汇
backward,"adj. 向后的；反向的；发展迟缓的
adv. 向后地；相反地",待补充,待补充,高考英语词汇
bacteria,n.  细菌,待补充,待补充,高考英语词汇
bad,"n. 坏事；坏人
adj. 坏的；严重的；劣质的
adv. 很，非常；坏地；邪恶地",待补充,待补充,高考英语词汇
badly,adv. 非常，很；严重地，厉害地；恶劣地,待补充,待补充,高考英语词汇
bag,"n. 袋；猎获物；（俚）一瓶啤酒
vt. 猎获；把…装入袋中；占据，私吞；使膨大
vi. 松垂",待补充,待补充,高考英语词汇
baggage,n. 行李； 辎重（军队的）,待补充,待补充,高考英语词汇
bake,"n. 烤；烘烤食品
vi. 烘面包；被烤干；受热
vt. 烤，烘焙",待补充,待补充,高考英语词汇
bakery,n. 面包店,待补充,待补充,高考英语词汇
balance,"n. 平衡；余额；匀称
vt. 使平衡；结算；使相称
vi. 保持平衡；相称；抵销",待补充,待补充,高考英语词汇
ball,"n. 球；舞会
vt. 捏成球形
vi. 成团块",待补充,待补充,高考英语词汇
ballet,n. 芭蕾舞剧；芭蕾舞乐曲,待补充,待补充,高考英语词汇
balloon,"n. 气球
adj. 像气球般鼓起的
vt. 使像气球般鼓起；使激增
vi. 激增；膨胀如气球",待补充,待补充,高考英语词汇
