正面 (Word),背面释义 (Definition),例句 (Sentence),词根/助记 (Mnemonic),难度标签 (Tag)
boss,"n. 老板；首领；工头
vt. 指挥，调遣；当…的领导
vi. 当首领，发号施令",待补充,待补充,高考英语词汇
botanist,n. 植物学家,待补充,待补充,高考英语词汇
botany,n. 植物学；地区植物总称,待补充,待补充,高考英语词汇
both,"conj. 既…且…
adj. 两个的；两者的
pron. 双方都；两者都
adv. 并；又；两者皆",待补充,待补充,高考英语词汇
bother,"n. 麻烦；烦恼
vt. 烦扰，打扰；使……不安；使……恼怒
vi. 操心，麻烦；烦恼",待补充,待补充,高考英语词汇
bottle,"n. 瓶子；一瓶的容量
vt. 控制；把…装入瓶中
vi. （街头艺人演出后）收拢钱币",待补充,待补充,高考英语词汇
bottom,"n. 底部；末端；臀部；尽头
adj. 底部的
vt. 装底；测量深浅；查明真相
vi. 到达底部；建立基础",待补充,待补充,高考英语词汇
bow,"n. 弓；鞠躬；船首
adj. 弯曲的
vi. 鞠躬；弯腰
vt. 鞠躬；弯腰",待补充,待补充,高考英语词汇
bowl,"n. 碗；木球；大酒杯
vt. 投球；旋转；平稳快速移动
vi. 玩保龄球；滑动；平稳快速移动",待补充,待补充,高考英语词汇
bowling,"n. 滚木球戏；保龄球戏
v. 打保龄球（bowl的现在分词）",待补充,待补充,高考英语词汇
box,"n. 箱，盒子；包厢；一拳
vt. 拳击；装…入盒中；打耳光
vi. 拳击",待补充,待补充,高考英语词汇
boy,n. 男孩；男人,待补充,待补充,高考英语词汇
brain,"n. 头脑，智力；脑袋
vt. 猛击…的头部",待补充,待补充,高考英语词汇
brake,"n. 闸，刹车；阻碍
vt. 刹车
vi. 刹车",待补充,待补充,高考英语词汇
branch,"n. 树枝，分枝；分部；支流
vt. 分支；出现分歧
vi. 分支；出现分歧",待补充,待补充,高考英语词汇
brand,"n. 商标，牌子；烙印
vt. 铭刻于，铭记；打烙印于；印…商标于",待补充,待补充,高考英语词汇
brass,n. 黄铜；黄铜制品；铜管乐器；厚脸皮,待补充,待补充,高考英语词汇
brave,"n. 勇士
adj. 勇敢的；华丽的
vt. 勇敢地面对",待补充,待补充,高考英语词汇
bread,"n. 面包；生计
vt. 在…上洒面包屑",待补充,待补充,高考英语词汇
break,"vi. 打破；折断；弄坏；削弱
vt. （使）破；打破（纪录）；（常指好天气）突变；开始
vi. （嗓音）突变；突破；破晓；（价格）突然下跌
n. 破裂；间断；（持续一段时间的状况的）改变；间歇",待补充,待补充,高考英语词汇
breakfast,"n. 早餐；早饭
vt. 为…供应早餐
vi. 吃早餐",待补充,待补充,高考英语词汇
breast,"n. 乳房，胸部；胸怀；心情
vt. 以胸对着；与…搏斗",待补充,待补充,高考英语词汇
breath,n. 呼吸，气息；一口气，（呼吸的）一次；瞬间，瞬息；微风；迹象；无声音，气音,待补充,待补充,高考英语词汇
breathe,"vi. 呼吸；低语；松口气；（风）轻拂
vt. 呼吸；使喘息；流露；低声说",待补充,待补充,高考英语词汇
breed,"n.  品种；种类，类型
vt. 繁殖；饲养；养育，教育；引起
vi. 繁殖；饲养；产生",待补充,待补充,高考英语词汇
breeze,"n. 微风；轻而易举的事；煤屑；焦炭渣；小风波
vi. 吹微风；逃走",待补充,待补充,高考英语词汇
bribe,"n. 贿赂
vt. 贿赂，收买
vi. 行贿",待补充,待补充,高考英语词汇
brick,"n. 砖，砖块；砖形物；心肠好的人
adj. 用砖做的；似砖的
vt. 用砖砌",待补充,待补充,高考英语词汇
bride,n. 新娘；姑娘，女朋友,待补充,待补充,高考英语词汇
bridegroom,n. 新郎,待补充,待补充,高考英语词汇
