正面 (Word),背面释义 (Definition),例句 (Sentence),词根/助记 (Mnemonic),难度标签 (Tag)
bury,vt. 埋葬；隐藏,待补充,待补充,高考英语词汇
bus,"n. 公共汽车
乘公共汽车",待补充,待补充,高考英语词汇
bush,"n. 灌木；矮树丛
adj. 如灌木般长得低矮的；粗野的
vt. 以灌木装饰；使…精疲力竭
vi. 丛生；浓密地生长",待补充,待补充,高考英语词汇
business,n. 商业； 生意； 交易；事情,待补充,待补充,高考英语词汇
busy,"adj. 忙碌的；热闹的；正被占用的
vt. 使忙于",待补充,待补充,高考英语词汇
but,"conj. 但是；而是；然而
adv. 仅仅，只
prep. 除…以外",待补充,待补充,高考英语词汇
butcher,"n. 屠夫
vt. 屠杀",待补充,待补充,高考英语词汇
butter,"n. 黄油；奶油；奉承话
vt. 涂黄油于；讨好",待补充,待补充,高考英语词汇
butterfly,n. 蝴蝶；蝶泳；举止轻浮的人；追求享乐的人,待补充,待补充,高考英语词汇
button,"n. 按钮；纽扣
vt. 扣住；扣紧；在…上装纽扣
vi. 扣住；装有纽扣；扣上纽扣",待补充,待补充,高考英语词汇
buy,"n. 购买，买卖；所购的物品
vi. 买，采购
vt. 购买；获得；贿赂",待补充,待补充,高考英语词汇
by,"prep. 通过；被；依据；经由；在附近；在……之前
adv. 通过；经过；附近； 白俄罗斯的国家代码顶级域名",待补充,待补充,高考英语词汇
bye,"n. 轮空；次要的东西
int. 再见
adj. 次要的",待补充,待补充,高考英语词汇
cabbage,n. 卷心菜，甘蓝菜，洋白菜；（俚)脑袋；（非正式、侮辱）植物人（常用于英式英语）；（俚）钱，尤指纸币（常用于美式俚语）,待补充,待补充,高考英语词汇
cabin,"n. 小屋；客舱；船舱
vt. 把…关在小屋里
vi. 住在小屋里",待补充,待补充,高考英语词汇
cable,"n. 缆绳；电缆；海底电报
vt. 打电报
vi. 打海底电报",待补充,待补充,高考英语词汇
café,待补充释义,待补充,待补充,高考英语词汇
cafeteria,n. 自助餐厅,待补充,待补充,高考英语词汇
cage,"n. 笼，兽笼；牢房，监狱
vt. 把…关进笼子；把…囚禁起来",待补充,待补充,高考英语词汇
cake,"n. 蛋糕；块状物；利益总额
vt. 使结块
vi. 结成块状",待补充,待补充,高考英语词汇
calculate,"vt. 计算；预测；认为；打算
vi. 计算；以为；作打算",待补充,待补充,高考英语词汇
calculator,n. 计算器；计算者,待补充,待补充,高考英语词汇
calendar,"n. 日历； 历法；日程表
vt. 将…列入表中；将…排入日程表",待补充,待补充,高考英语词汇
call,"n. 电话；呼叫；要求；访问
vi. 呼叫；拜访；叫牌
vt. 呼叫；称呼；召集",待补充,待补充,高考英语词汇
calm,"n. 风平浪静
adj. 静的，平静的；沉着的
vt. 使平静；使镇定
vi. 平静下来；镇定下来",待补充,待补充,高考英语词汇
camel,"n.  骆驼；打捞浮筒；工作作风官僚
adj. 驼色的；暗棕色的
vi. 工作刻板平庸",待补充,待补充,高考英语词汇
camera,n. 照相机；摄影机,待补充,待补充,高考英语词汇
camp,"n. 露营
vt. 扎营；使扎营
vi. 露营；扎营",待补充,待补充,高考英语词汇
campaign,"n. 运动；活动；战役
vi. 作战；参加竞选；参加活动",待补充,待补充,高考英语词汇
campus,n. （大学）校园；大学，大学生活；校园内的草地,待补充,待补充,高考英语词汇
