正面 (Word),背面释义 (Definition),例句 (Sentence),词根/助记 (Mnemonic),难度标签 (Tag)
competition,n. 竞争；比赛，竞赛,待补充,待补充,高考英语词汇
competitive,adj. 竞争的；比赛的；求胜心切的,待补充,待补充,高考英语词汇
complain,"vi. 投诉；发牢骚；诉说
vt. 抱怨；控诉",待补充,待补充,高考英语词汇
complaint,n. 抱怨；诉苦；疾病；委屈,待补充,待补充,高考英语词汇
complete,"adj. 完整的；完全的；彻底的
vt. 完成",待补充,待补充,高考英语词汇
complex,"n. 复合体；综合设施
adj. 复杂的；合成的",待补充,待补充,高考英语词汇
complicated,adj. 难懂的，复杂的,待补充,待补充,高考英语词汇
compliment,"n. 恭维；称赞；问候；致意；道贺
vt. 恭维；称赞",待补充,待补充,高考英语词汇
compose,"vt. 构成；写作；使平静；排…的版
vi. 组成；作曲；排字",待补充,待补充,高考英语词汇
composer,n. 作曲家；作家，著作者；设计者,待补充,待补充,高考英语词汇
composition,n. 作文，作曲，作品； 构成；合成物；成分,待补充,待补充,高考英语词汇
compound,"n.  化合物；混合物；复合词
adj. 复合的；混合的
v. 合成；混合；恶化，加重；和解，妥协",待补充,待补充,高考英语词汇
comprehension,n. 理解；包含,待补充,待补充,高考英语词汇
comprehensive,"n. 综合学校；专业综合测验
adj. 综合的；广泛的；有理解力的",待补充,待补充,高考英语词汇
compute,"n. 计算；估计；推断
vt. 计算；估算；用计算机计算
vi. 计算；估算；推断",待补充,待补充,高考英语词汇
computer,n. 计算机；电脑；电子计算机,待补充,待补充,高考英语词汇
conceal,vt. 隐藏；隐瞒,待补充,待补充,高考英语词汇
concentrate,"n. 浓缩，精选；浓缩液
vi. 集中；浓缩；全神贯注；聚集
vt. 集中；浓缩",待补充,待补充,高考英语词汇
concentration,n. 浓度；集中；浓缩；专心；集合,待补充,待补充,高考英语词汇
concept,n. 观念，概念,待补充,待补充,高考英语词汇
concern,"n. 关系；关心；关心的事；忧虑
vt. 涉及，关系到；使担心",待补充,待补充,高考英语词汇
concert,"n. 音乐会；一致；和谐
adj. 音乐会用的；在音乐会上演出的
vt. 使协调；协同安排
vi. 协调；协力",待补充,待补充,高考英语词汇
conclude,"vi. 推断；断定；决定
vt. 推断；决定，作结论；结束",待补充,待补充,高考英语词汇
conclusion,n. 结论；结局；推论,待补充,待补充,高考英语词汇
concrete,"n. 具体物；凝结物
adj. 混凝土的；实在的，具体的；有形的
vt. 使凝固；用混凝土修筑
vi. 凝结",待补充,待补充,高考英语词汇
condition,"n. 条件；情况；环境；身份
vt. 决定；使适应；使健康；以…为条件",待补充,待补充,高考英语词汇
conduct,"n. 进行；行为；实施
vi. 导电；带领
vt. 管理；引导；表现",待补充,待补充,高考英语词汇
conductor,n. 导体；售票员；领导者；管理人,待补充,待补充,高考英语词汇
conference,"n. 会议；讨论；协商；联盟；（正式）讨论会；（每年的）大会
vi. 举行或参加（系列）会议",待补充,待补充,高考英语词汇
confess,"vi. 承认；坦白；忏悔；供认
vt. 承认；坦白；忏悔；供认",待补充,待补充,高考英语词汇
