正面 (Word),背面释义 (Definition),例句 (Sentence),词根/助记 (Mnemonic),难度标签 (Tag)
crowded,"adj. 拥挤的；塞满的
v. 拥挤（crowd的过去分词）",待补充,待补充,高考英语词汇
crown,"n. 王冠；花冠；王权；顶点
vt. 加冕；居…之顶；表彰；使圆满完成",待补充,待补充,高考英语词汇
cruel,adj. 残酷的，残忍的；使人痛苦的，让人受难的；无情的，严酷的,待补充,待补充,高考英语词汇
cruelty,n. 残酷；残忍；残酷的行为,待补充,待补充,高考英语词汇
crush,"n. 粉碎；迷恋；压榨；拥挤的人群
vt. 压碎；弄皱，变形；使…挤入
vi. 挤；被压碎",待补充,待补充,高考英语词汇
cry,"n. 叫喊；叫声；口号；呼叫
vi. 哭；叫；喊
vt. 叫喊；哭出；大声说",待补充,待补充,高考英语词汇
crystal,"n. 结晶，晶体；水晶；水晶饰品
adj. 水晶的；透明的，清澈的",待补充,待补充,高考英语词汇
cucumber,n. 黄瓜；胡瓜,待补充,待补充,高考英语词汇
cultivate,vt. 培养；陶冶；耕作,待补充,待补充,高考英语词汇
cultural,adj. 文化的；教养的,待补充,待补充,高考英语词汇
culture,"n. 文化，文明；修养；栽培
vt.  培养（等于cultivate）",待补充,待补充,高考英语词汇
cup,"n. 杯子；奖杯；酒杯
vt. 使成杯状；为…拔火罐",待补充,待补充,高考英语词汇
cupboard,n. 碗柜；食橱,待补充,待补充,高考英语词汇
cure,"n. 治疗；治愈； 疗法
vt. 治疗；治愈；使硫化；加工处理
vi. 治病；痊愈；受治疗；被硫化；被加工处理",待补充,待补充,高考英语词汇
curious,adj. 好奇的，有求知欲的；古怪的；爱挑剔的,待补充,待补充,高考英语词汇
current,"n. （水，气，电）流；趋势；涌流
adj. 现在的；流通的，通用的；最近的；草写的",待补充,待补充,高考英语词汇
curtain,"n. 幕；窗帘
vt. 遮蔽；装上门帘",待补充,待补充,高考英语词汇
curve,"n. 曲线；弯曲；曲线球；曲线图表
adj. 弯曲的；曲线形的
vt. 弯；使弯曲
vi. 成曲形",待补充,待补充,高考英语词汇
cushion,"n. 垫子；起缓解作用之物；（猪等的）臀肉；银行储蓄
vt. 给…安上垫子；把…安置在垫子上；缓和…的冲击",待补充,待补充,高考英语词汇
custom,"n. 习惯，惯例；风俗；海关，关税；经常光顾；（经常性的）顾客
adj. （衣服等）定做的，定制的",待补充,待补充,高考英语词汇
customer,n. 顾客；家伙,待补充,待补充,高考英语词汇
cut,"n. 伤口；切口；削减；（服装等的）式样；削球；切入
adj. 割下的；雕过的；缩减的
vt.  切割；削减；缩短；刺痛
vi.  切割；相交；切牌；停拍；不出席",待补充,待补充,高考英语词汇
cycle,"n. 循环；周期；自行车；整套；一段时间
vt. 使循环；使轮转
vi. 循环；骑自行车；轮转",待补充,待补充,高考英语词汇
cyclist,n. 骑自行车的人,待补充,待补充,高考英语词汇
dad,n. 爸爸；爹爹,待补充,待补充,高考英语词汇
dally,"vt. 浪费（时间）
vi. 玩弄；闲荡；轻率地对待",待补充,待补充,高考英语词汇
dairy,"n. 奶制品；乳牛；制酪场；乳品店；牛奶及乳品业
adj. 乳品的；牛奶的；牛奶制的；产乳的",待补充,待补充,高考英语词汇
dam,"n.  水坝；障碍
v. 控制；筑坝",待补充,待补充,高考英语词汇
damage,"vi. 损害；损毁
vt. 损害，毁坏
n. 损害；损毁；赔偿金",待补充,待补充,高考英语词汇
damp,"n. 潮湿，湿气
adj. 潮湿的
vt. 使潮湿；使阻尼；使沮丧，抑制
vi. 减幅，阻尼；变潮湿",待补充,待补充,高考英语词汇
