正面 (Word),背面释义 (Definition),例句 (Sentence),词根/助记 (Mnemonic),难度标签 (Tag)
decorate,"vt. 装饰；布置；授勋给
vi. 装饰；布置",待补充,待补充,高考英语词汇
decrease,"n. 减少，减小；减少量
vt. 减少，减小
vi. 减少，减小",待补充,待补充,高考英语词汇
deed,"n. 行动；功绩；证书； 契据
vt. 立契转让",待补充,待补充,高考英语词汇
deep,"n. 深处；深渊
adj. 深的；低沉的；深奥的
adv. 深入地；深深地；迟",待补充,待补充,高考英语词汇
deer,n. 鹿,待补充,待补充,高考英语词汇
defeat,"n. 失败的事实；击败的行为
vt. 击败，战胜；挫败；使…失败",待补充,待补充,高考英语词汇
defence,n. 防御；防卫；答辩；防卫设备,待补充,待补充,高考英语词汇
defense,"n. 防卫，防护；防御措施；防守
vt. 谋划抵御",待补充,待补充,高考英语词汇
defend,"vi. 保卫；防守
vt. 辩护；防护",待补充,待补充,高考英语词汇
define,vt. 定义；使明确；规定,待补充,待补充,高考英语词汇
definite,adj. 一定的；确切的,待补充,待补充,高考英语词汇
definition,n. 定义； 清晰度；解说,待补充,待补充,高考英语词汇
degree,n. 程度，等级；度；学位；阶层,待补充,待补充,高考英语词汇
delay,"n. 延期；耽搁；被耽搁或推迟的时间
vt. 延期；耽搁
vi. 延期；耽搁",待补充,待补充,高考英语词汇
delegate,"n. 代表
vt. 委派…为代表",待补充,待补充,高考英语词汇
delete,vt. 删除,待补充,待补充,高考英语词汇
delicate,adj. 微妙的；精美的，雅致的；柔和的；易碎的；纤弱的；清淡可口的,待补充,待补充,高考英语词汇
delicious,adj. 美味的；可口的,待补充,待补充,高考英语词汇
delight,"n. 高兴
vt. 使高兴
vi. 高兴",待补充,待补充,高考英语词汇
deliver,"n. 投球
vt. 交付；发表；递送；释放；给予（打击）；给…接生
vi. 实现；传送；履行；投递",待补充,待补充,高考英语词汇
delivery,n.  交付；分娩；递送,待补充,待补充,高考英语词汇
demand,"n.  需求；要求；需要
vt. 要求；需要；查询
vi. 需要；请求；查问",待补充,待补充,高考英语词汇
demanding,"v. 要求；查问（demand的ing形式）
adj. 苛求的；要求高的；吃力的",待补充,待补充,高考英语词汇
democracy,n. 民主，民主主义；民主政治,待补充,待补充,高考英语词汇
dentist,"n. 牙科医生
牙医诊所",待补充,待补充,高考英语词汇
deny,"vi. 否认；拒绝
vt. 否定，否认；拒绝给予；拒绝…的要求",待补充,待补充,高考英语词汇
depart,"adj. 逝世的
vi. 离开；出发，起程；违反；去世",待补充,待补充,高考英语词汇
department,n. 部；部门；系；科；局,待补充,待补充,高考英语词汇
departure,n. 离开；出发；违背,待补充,待补充,高考英语词汇
depend,vi. 依赖，依靠；取决于；相信，信赖,待补充,待补充,高考英语词汇
