正面 (Word),背面释义 (Definition),例句 (Sentence),词根/助记 (Mnemonic),难度标签 (Tag)
drug,"n. 药；毒品；麻醉药；滞销货
vt. 使服麻醉药；使服毒品；掺麻醉药于
vi. 吸毒",待补充,待补充,高考英语词汇
drugstore,n.  药房（常兼售化妆品、杂志等杂货）；（美）杂货店,待补充,待补充,高考英语词汇
drum,"n. 鼓；鼓声
vi. 击鼓；大力争取
vt. 击鼓；大力争取",待补充,待补充,高考英语词汇
dry,"n. 干涸
adj. 干的；口渴的；枯燥无味的；禁酒的
vt. 把…弄干
vi. 变干",待补充,待补充,高考英语词汇
duck,"n. 鸭子；鸭肉；（英）宝贝儿；零分
vt. 躲避；猛按…入水
vi. 闪避；没入水中",待补充,待补充,高考英语词汇
due,"n. 应付款；应得之物
adj. 到期的；预期的；应付的；应得的
adv. 正（置于方位词前）",待补充,待补充,高考英语词汇
dull,"adj. 钝的；迟钝的；无趣的；呆滞的；阴暗的
vt. 使迟钝；使阴暗；缓和
vi. 减少；变迟钝",待补充,待补充,高考英语词汇
dumb,adj. 哑的，无说话能力的；不说话的，无声音的,待补充,待补充,高考英语词汇
dump,"n. 垃圾场；仓库；无秩序地累积
vt. 倾倒；倾卸；丢下，卸下；摆脱，扔弃；倾销
vi. 倒垃圾；突然跌倒或落下；卸货；转嫁（责任等）",待补充,待补充,高考英语词汇
dumpling,n. 饺子，汤团；面团布丁,待补充,待补充,高考英语词汇
during,prep. 在…的时候，在…的期间,待补充,待补充,高考英语词汇
dusk,"n. 黄昏，薄暮；幽暗，昏暗
vt. 使变微暗
adj. 微暗的
vi. 变微暗",待补充,待补充,高考英语词汇
dust,"n. 灰尘；尘埃；尘土
vt. 撒；拂去灰尘
vi. 拂去灰尘；化为粉末",待补充,待补充,高考英语词汇
dustbin,n. 垃圾箱；吃货,待补充,待补充,高考英语词汇
dusty,adj. 落满灰尘的,待补充,待补充,高考英语词汇
duty,n. 责任； 关税；职务,待补充,待补充,高考英语词汇
dynamite,"n. 炸药；具有潜在危险的人（或物）
vt. 炸毁
adj. 极好的",待补充,待补充,高考英语词汇
dynasty,n. 王朝，朝代,待补充,待补充,高考英语词汇
each,"adj. 每；各自的
pron. 每个；各自
adv. 每个；各自",待补充,待补充,高考英语词汇
eager,adj. 渴望的；热切的；热心的,待补充,待补充,高考英语词汇
eagerness,n. 渴望；热心,待补充,待补充,高考英语词汇
ear,"n. 耳朵；穗；听觉；倾听
vi. （美俚）听见；抽穗",待补充,待补充,高考英语词汇
early,"adj. 早期的；早熟的
adv. 提早；在初期",待补充,待补充,高考英语词汇
earn,vt. 赚，赚得；获得，挣得；使得到；博得,待补充,待补充,高考英语词汇
earnest,"n. 认真；定金；诚挚
adj. 认真的，热心的；重要的",待补充,待补充,高考英语词汇
earnings,n. 收入,待补充,待补充,高考英语词汇
earth,"n. 地球；地表，陆地；土地，土壤；尘事，俗事；兽穴
vt. 把（电线） 接地；盖（土）；追赶入洞穴
vi. 躲进地洞",待补充,待补充,高考英语词汇
earthquake,n. 地震；大动荡,待补充,待补充,高考英语词汇
ease,"n. 轻松，舒适；安逸，悠闲
vt. 减轻，缓和；使安心
vi. 减轻，缓和；放松；灵活地移动",待补充,待补充,高考英语词汇
easily,adv. 容易地；无疑地,待补充,待补充,高考英语词汇
