正面 (Word),背面释义 (Definition),例句 (Sentence),词根/助记 (Mnemonic),难度标签 (Tag)
excursion,n. 偏移；远足；短程旅行；离题；游览，游览团,待补充,待补充,高考英语词汇
excuse,"n. 借口；理由
vt. 原谅；为…申辩；给…免去
vi. 作为借口；请求宽恕；表示宽恕",待补充,待补充,高考英语词汇
executive,"n. 总经理；执行委员会；执行者；经理主管人员
adj. 行政的；经营的；执行的，经营管理的",待补充,待补充,高考英语词汇
exercise,"n. 运动；练习；运用；操练；礼拜；典礼
vt. 锻炼；练习；使用；使忙碌；使惊恐
vi. 运动；练习",待补充,待补充,高考英语词汇
exhaust,"n. 排气；废气；排气装置
vt. 排出；耗尽；使精疲力尽；彻底探讨
vi. 排气",待补充,待补充,高考英语词汇
exhibit,"n. 展览品；证据；展示会
vt. 展览；显示；提出（证据等）
vi. 展出；开展览会",待补充,待补充,高考英语词汇
exhibition,n. 展览，显示；展览会；展览品,待补充,待补充,高考英语词汇
exist,vi. 存在；生存；生活；继续存在,待补充,待补充,高考英语词汇
existence,n. 存在，实在；生存，生活；存在物，实在物,待补充,待补充,高考英语词汇
exit,"n. 出口，通道；退场
vi. 退出；离去",待补充,待补充,高考英语词汇
expand,"vt. 扩张；使膨胀；详述
vi. 发展；张开，展开",待补充,待补充,高考英语词汇
expect,"vi. 期待；预期
vt. 期望；指望；认为；预料",待补充,待补充,高考英语词汇
expense,"n. 损失，代价；消费；开支
vt. 向…收取费用
vi. 被花掉",待补充,待补充,高考英语词汇
expensive,adj. 昂贵的；花钱的,待补充,待补充,高考英语词汇
experience,"n. 经验；经历；体验
vt. 经验；经历；体验",待补充,待补充,高考英语词汇
experiment,"n. 实验，试验；尝试
vi. 尝试；进行实验",待补充,待补充,高考英语词汇
expert,"n. 专家；行家；能手
adj. 熟练的；内行的；老练的
vt. 当专家；在…中当行家",待补充,待补充,高考英语词汇
explain,v. 说明；解释,待补充,待补充,高考英语词汇
explanation,n. 说明，解释；辩解,待补充,待补充,高考英语词汇
explode,"vi. 爆炸，爆发；激增
vt. 使爆炸；爆炸；推翻",待补充,待补充,高考英语词汇
exploit,"n. 勋绩；功绩
vt. 开发，开拓；剥削；开采",待补充,待补充,高考英语词汇
explore,"vi. 探索；探测；探险
vt. 探索；探测；探险",待补充,待补充,高考英语词汇
explosive,"n. 炸药；爆炸物
adj. 爆炸的；爆炸性的；爆发性的",待补充,待补充,高考英语词汇
export,"n. 输出，出口；出口商品
vt. 输出，出口
vi. 输出物资",待补充,待补充,高考英语词汇
expose,vt. 揭露，揭发；使曝光；显示,待补充,待补充,高考英语词汇
express,"n. 快车，快递，专使；捷运公司
vt. 表达；快递
adj. 明确的；迅速的；专门的",待补充,待补充,高考英语词汇
expression,n. 表现，表示，表达；表情，脸色，态度，腔调，声调；式，符号；词句，语句，措辞，说法,待补充,待补充,高考英语词汇
extend,"vt. 延伸；扩大；推广；伸出；给予；使竭尽全力；对…估价
vi. 延伸；扩大；伸展；使疏开",待补充,待补充,高考英语词汇
extension,n. 延长；延期；扩大；伸展；电话分机,待补充,待补充,高考英语词汇
extensive,adj. 广泛的；大量的；广阔的,待补充,待补充,高考英语词汇
