正面 (Word),背面释义 (Definition),例句 (Sentence),词根/助记 (Mnemonic),难度标签 (Tag)
extent,n. 程度；范围；长度,待补充,待补充,高考英语词汇
extinct,"adj. 灭绝的，绝种的；熄灭的
vt. 使熄灭",待补充,待补充,高考英语词汇
extinction,n. 灭绝；消失；消灭；废止,待补充,待补充,高考英语词汇
extinguisher,n. 灭火器；消灭者；熄灭者,待补充,待补充,高考英语词汇
extra,"n. 临时演员；号外；额外的事物；上等产品
adj. 额外的，另外收费的；特大的
adv. 特别地，非常；另外",待补充,待补充,高考英语词汇
extraordinary,adj. 非凡的；特别的；离奇的；临时的；特派的,待补充,待补充,高考英语词汇
extreme,"n. 极端；末端；最大程度；极端的事物
adj. 极端的；极度的；偏激的；尽头的",待补充,待补充,高考英语词汇
eye,"n. 眼睛；视力；眼光；见解，观点
vt. 注视，看",待补充,待补充,高考英语词汇
eyebrow,"n. 眉毛
v. 为…描眉；用皱眉蹙额迫使",待补充,待补充,高考英语词汇
eyesight,n. 视力；目力,待补充,待补充,高考英语词汇
fable,"n. 寓言；无稽之谈
vt. 煞有介事地讲述；虚构
vi. 编寓言；虚构",待补充,待补充,高考英语词汇
face,"n. 脸；表面；面子；面容；外观；威信
vi. 向；朝
vt. 面对；面向；承认；抹盖",待补充,待补充,高考英语词汇
facility,n. 设施；设备；容易；灵巧,待补充,待补充,高考英语词汇
fact,n. 事实；实际；真相,待补充,待补充,高考英语词汇
factor,"n. 因素；要素； 因数；代理人
vt. 把…作为因素计入；代理经营；把…分解成
vi. 做代理商",待补充,待补充,高考英语词汇
factory,n. 工厂；制造厂；代理店,待补充,待补充,高考英语词汇
fail,"n. 不及格
vi. 失败，不及格；破产；缺乏；衰退
vt. 不及格；使失望；忘记；舍弃",待补充,待补充,高考英语词汇
failure,n. 失败；故障；失败者；破产,待补充,待补充,高考英语词汇
faint,"n.  昏厥，昏倒
adj. 模糊的；头晕的；虚弱的； 衰弱的
vi. 昏倒；变得微弱；变得没气力",待补充,待补充,高考英语词汇
fair,"n. 展览会；市集；美人
adj. 公平的；美丽的，白皙的； 晴朗的
vi. 转晴
adv. 公平地；直接地；清楚地",待补充,待补充,高考英语词汇
fairly,adv. 相当地；公平地；简直,待补充,待补充,高考英语词汇
fairy,"n. 仙女，小精灵；漂亮姑娘
adj. 虚构的；仙女的",待补充,待补充,高考英语词汇
faith,n. 信仰；信念；信任；忠实,待补充,待补充,高考英语词汇
fake,"n. 假货；骗子；假动作
adj. 伪造的
vt. 捏造；假装…的样子
vi. 假装；做假动作",待补充,待补充,高考英语词汇
fall,"n. 下降；秋天；瀑布
adj. 秋天的
vi. 落下；变成；来临；减弱
vt. 砍倒；击倒",待补充,待补充,高考英语词汇
false,"adj. 错误的；虚伪的；伪造的
adv. 欺诈地",待补充,待补充,高考英语词汇
fame,"n. 名声，名望；传闻，传说
vt. 使闻名，使有名望",待补充,待补充,高考英语词汇
familiar,"n. 常客；密友
adj. 熟悉的；常见的；亲近的",待补充,待补充,高考英语词汇
family,"n. 家庭；亲属；家族；子女；科；语族；族
adj. 家庭的；家族的；适合于全家的",待补充,待补充,高考英语词汇
famous,adj. 著名的；极好的，非常令人满意的,待补充,待补充,高考英语词汇
