正面 (Word),背面释义 (Definition),例句 (Sentence),词根/助记 (Mnemonic),难度标签 (Tag)
found,"v. 找到（find的过去分词）
vt. 创立，建立；创办",待补充,待补充,高考英语词汇
foundation,n. 基础；地基；基金会；根据；创立,待补充,待补充,高考英语词汇
founder,"n. 创始人；建立者；翻沙工
vt. 破坏；使摔倒；垮掉
vi. 失败；沉没；倒塌；变跛",待补充,待补充,高考英语词汇
fountain,n. 喷泉，泉水；源泉,待补充,待补充,高考英语词汇
fox,"n. 狐狸；狡猾的人
vt. 欺骗；使变酸
vi. 假装；耍狡猾手段",待补充,待补充,高考英语词汇
frame,"n. 框架；结构； 画面
adj. 有木架的；有构架的
vt. 设计；建造；陷害；使…适合
vi. 有成功希望",待补充,待补充,高考英语词汇
frank,"n. 免费邮寄特权
adj. 坦白的，直率的；老实的
vt. 免费邮寄",待补充,待补充,高考英语词汇
free,"adj. 免费的；自由的，不受约束的； 游离的
vt. 使自由，解放；释放
adv. 自由地；免费",待补充,待补充,高考英语词汇
freedom,n. 自由，自主；直率,待补充,待补充,高考英语词汇
freeze,"n. 冻结；凝固
vt. 使…冻住；使…结冰
vi. 冻结；冷冻；僵硬",待补充,待补充,高考英语词汇
freezing,adj. 冰冻的；严寒的；冷冻用的,待补充,待补充,高考英语词汇
frequent,"adj. 频繁的；时常发生的；惯常的
vt. 常到，常去；时常出入于",待补充,待补充,高考英语词汇
fresh,"n. 开始；新生；泛滥
adj. 新鲜的；清新的；淡水的；无经验的
adv. 刚刚，才；最新地",待补充,待补充,高考英语词汇
fridge,n. 电冰箱,待补充,待补充,高考英语词汇
friend,n. 朋友；助手；赞助者,待补充,待补充,高考英语词汇
friendly,"adj. 友好的；亲切的；支持的；融洽的，和睦的
adv. 友善地；温和地",待补充,待补充,高考英语词汇
friendship,n. 友谊；友爱；友善,待补充,待补充,高考英语词汇
frighten,"vt. 使惊吓；吓唬…
vi. 害怕，惊恐",待补充,待补充,高考英语词汇
frightened,"v. 害怕；使吃惊；吓走（frighten的过去分词）
adj. 害怕的；受惊的；受恐吓的",待补充,待补充,高考英语词汇
frog,"n. 青蛙； 辙叉；饰扣
vi. 捕蛙",待补充,待补充,高考英语词汇
from,prep. 来自，从；由于；今后,待补充,待补充,高考英语词汇
front,"n. 前面；正面；前线
adj. 前面的；正面的
vt. 面对；朝向；对付
vi. 朝向
adv. 在前面；向前",待补充,待补充,高考英语词汇
frozen,"v. 结冰（freeze的过去分词）；凝固；变得刻板
adj. 冻结的；冷酷的",待补充,待补充,高考英语词汇
fruit,"n. 水果；产物
vt. 使……结果实
vi. 结果实",待补充,待补充,高考英语词汇
fry,"n. 鱼苗；油炸食物
vt. 油炸；油煎
vi. 油炸；油煎",待补充,待补充,高考英语词汇
fuel,"n. 燃料；刺激因素
vt. 供以燃料，加燃料
vi. 得到燃料",待补充,待补充,高考英语词汇
fulfil,vt. 履行；完成；实践；满足,待补充,待补充,高考英语词汇
fulfill,vt. 履行；实现；满足；使结束（等于fulfil）,待补充,待补充,高考英语词汇
full,"n. 全部；完整
adj. 完全的，完整的；满的，充满的；丰富的；完美的；丰满的；详尽的
vt. 把衣服缝得宽大
adv. 十分，非常；完全地；整整",待补充,待补充,高考英语词汇
fun,"n. 乐趣；玩笑；有趣的人或事
adj. 供娱乐用的
vi. 开玩笑",待补充,待补充,高考英语词汇
