正面 (Word),背面释义 (Definition),例句 (Sentence),词根/助记 (Mnemonic),难度标签 (Tag)
function,"n. 功能； 函数；职责；盛大的集会
vi. 运行；活动；行使职责",待补充,待补充,高考英语词汇
fund,"n. 基金；资金；存款
vt. 投资；资助",待补充,待补充,高考英语词汇
funeral,"n. 葬礼；麻烦事
adj. 丧葬的，出殡的",待补充,待补充,高考英语词汇
funny,"n. 滑稽人物；笑话，有趣的故事；滑稽连环漫画栏；（英）（比赛用）单人双桨小艇
adj. 有趣的，好笑的，滑稽的；（口）稀奇的，古怪的，奇异的；有病的，不舒服的；狡猾的，欺骗（性）的，可疑的，不光明",待补充,待补充,高考英语词汇
fur,"n. 皮，皮子；毛皮；软毛
n. 水垢
vt. 用毛皮覆盖；使穿毛皮服装",待补充,待补充,高考英语词汇
furnish,vt. 提供；供应；装备,待补充,待补充,高考英语词汇
furniture,n. 家具；设备；储藏物,待补充,待补充,高考英语词汇
further,"adj. 更远的；深一层的
vt. 促进，助长；增进
adv. 进一步地；而且；更远地",待补充,待补充,高考英语词汇
furthermore,adv. 此外；而且,待补充,待补充,高考英语词汇
future,"n. 未来；前途；期货；将来时
adj. 将来的，未来的",待补充,待补充,高考英语词汇
gain,"n. 增加；利润；收获
vi. 增加；获利
vt. 获得；增加；赚到",待补充,待补充,高考英语词汇
gallery,"n. 画廊；走廊；旁听席；地道
vt. 在…修建走廊；在…挖地道
vi. 挖地道",待补充,待补充,高考英语词汇
gamble,"n. 赌博；冒险；打赌
vi. 赌博；孤注一掷；投机；打赌
vt. 赌博；孤注一掷；冒险假设",待补充,待补充,高考英语词汇
game,"n. 游戏；比赛
adj. 勇敢的
vi. 赌博",待补充,待补充,高考英语词汇
gang,"n. 群；一伙；一组
vt. 使成群结队；结伙伤害或恐吓某人
vi. 成群结队",待补充,待补充,高考英语词汇
gap,"n. 间隙；缺口；差距；分歧
vt. 使形成缺口
vi. 裂开",待补充,待补充,高考英语词汇
garage,"n. 车库；汽车修理厂；飞机库
vt. 把……送入车库；把（汽车）开进车库",待补充,待补充,高考英语词汇
garbage,n. 垃圾；废物,待补充,待补充,高考英语词汇
garden,"n. 花园；菜园
vt. 栽培花木
vi. 从事园艺；在园中种植",待补充,待补充,高考英语词汇
gas,"n. 气体； 瓦斯；汽油；毒气
vt. 加油；毒（死）
vi. 加油；放出气体；空谈",待补充,待补充,高考英语词汇
gasoline,n. 汽油,待补充,待补充,高考英语词汇
gate,"n. 大门；出入口；门道
vt. 给…装大门",待补充,待补充,高考英语词汇
gather,"n. 聚集；衣褶；收获量
vt. 收集；收割；使…聚集；使…皱起
vi. 聚集；化脓；皱起",待补充,待补充,高考英语词汇
gay,"n. 同性恋者
adj. 快乐的；放荡的；艳丽的",待补充,待补充,高考英语词汇
gaze,"n. 凝视；注视
vi. 凝视；注视",待补充,待补充,高考英语词汇
gene,n.  基因，遗传因子,待补充,待补充,高考英语词汇
general,"n. 一般；将军，上将；常规
adj. 一般的，普通的；综合的；大体的",待补充,待补充,高考英语词汇
generally,adv. 通常；普遍地，一般地,待补充,待补充,高考英语词汇
generation,n. 一代；产生；一代人；生殖,待补充,待补充,高考英语词汇
generous,adj. 慷慨的，大方的；宽宏大量的；有雅量的,待补充,待补充,高考英语词汇
