正面 (Word),背面释义 (Definition),例句 (Sentence),词根/助记 (Mnemonic),难度标签 (Tag)
golf,"n. 高尔夫球；高尔夫球运动
vi. 打高尔夫球",待补充,待补充,高考英语词汇
good,"n. 好处；善行；慷慨的行为
adj. 好的；优良的；愉快的；虔诚的
adv. 好",待补充,待补充,高考英语词汇
goodby,int. 再见（等于goodbye）,待补充,待补充,高考英语词汇
goodbye,"int. 再见
放弃
告别",待补充,待补充,高考英语词汇
goodness,"n. 善良，优秀 ；精华，养分
int. 天哪",待补充,待补充,高考英语词汇
goods,n. 商品；动产；合意的人；真本领,待补充,待补充,高考英语词汇
goose,"n. 鹅；鹅肉；傻瓜；雌鹅
vt. 突然加大油门；嘘骂",待补充,待补充,高考英语词汇
gossip,"n. 小道传闻；随笔；爱说长道短的人
vi. 闲聊；传播流言蜚语",待补充,待补充,高考英语词汇
govern,"vt. 管理；支配；统治；控制
vi. 居支配地位；进行统治",待补充,待补充,高考英语词汇
government,n. 政府；政体；管辖,待补充,待补充,高考英语词汇
grab,"n. 攫取；霸占；夺取之物
vt. 攫取；霸占；将…深深吸引
vi. 攫取；夺取",待补充,待补充,高考英语词汇
graceful,adj. 优雅的；优美的,待补充,待补充,高考英语词汇
gracious,"adj. 亲切的；高尚的；和蔼的；雅致的
int. 天哪；哎呀",待补充,待补充,高考英语词汇
grade,"n. 年级；等级；成绩；级别；阶段
vt. 评分；把…分等级
vi. 分等级；逐渐变化",待补充,待补充,高考英语词汇
gradual,"n. 弥撒升阶圣歌集
adj. 逐渐的；平缓的",待补充,待补充,高考英语词汇
graduate,"n. 研究生；毕业生
adj. 毕业的；研究生的
vt. 授予…学位；分等级；标上刻度
vi. 毕业；渐变",待补充,待补充,高考英语词汇
graduation,n. 毕业；毕业典礼；刻度，分度；分等级,待补充,待补充,高考英语词汇
grain,"n. 粮食；颗粒； 谷物；纹理
vt. 使成谷粒
vi. 成谷粒",待补充,待补充,高考英语词汇
gram,n. 克；鹰嘴豆（用作饲料）,待补充,待补充,高考英语词汇
grammar,n. 语法；语法书,待补充,待补充,高考英语词汇
grand,"n. 大钢琴；一千美元
adj. 宏伟的；豪华的；极重要的",待补充,待补充,高考英语词汇
grandfather,"n. 祖父；始祖
vt. 不受新规定限制",待补充,待补充,高考英语词汇
grandmother,"n. 祖母；女祖先
vt. 当…的祖母
vi. 当祖母",待补充,待补充,高考英语词汇
grandparent,n. 祖父母；祖父或祖母；外祖父母；外祖父或外祖母,待补充,待补充,高考英语词汇
grant,"n. 拨款； 授予物
vt. 授予；允许；承认
vi. 同意",待补充,待补充,高考英语词汇
grape,n. 葡萄；葡萄酒；葡萄树；葡萄色,待补充,待补充,高考英语词汇
grasp,"n. 抓住；理解；控制
vi. 抓
vt. 抓住；领会",待补充,待补充,高考英语词汇
grass,"n. 草；草地，草坪
vt. 放牧；使……长满草；使……吃草
vi. 长草",待补充,待补充,高考英语词汇
grateful,adj. 感谢的；令人愉快的，宜人的,待补充,待补充,高考英语词汇
gratitude,n. 感谢（的心情）；感激,待补充,待补充,高考英语词汇
