正面 (Word),背面释义 (Definition),例句 (Sentence),词根/助记 (Mnemonic),难度标签 (Tag)
holiday,"n. 假日；节日；休息日
vi. 外出度假",待补充,待补充,高考英语词汇
hollow,"n. 洞；山谷；窟窿
adj. 空的；中空的，空腹的；凹的；虚伪的
vt. 使成为空洞
adv. 彻底地；无用地
vi. 形成空洞",待补充,待补充,高考英语词汇
holy,"n. 神圣的东西
adj. 圣洁的，神圣的；至善的
（俚）太棒了",待补充,待补充,高考英语词汇
home,"n. 家，住宅；产地；家乡；避难所
adj. 国内的，家庭的；有效的
vt. 归巢，回家
adv. 在家，回家；深入地",待补充,待补充,高考英语词汇
homeland,n. 祖国；故乡,待补充,待补充,高考英语词汇
homesick,adj. 想家的；思乡病的,待补充,待补充,高考英语词汇
homework,n. 家庭作业，课外作业,待补充,待补充,高考英语词汇
honest,adj. 诚实的，实在的；可靠的；坦率的,待补充,待补充,高考英语词汇
honestly,adv. 真诚地；公正地,待补充,待补充,高考英语词汇
honesty,n. 诚实，正直,待补充,待补充,高考英语词汇
honey,"n. 蜂蜜；宝贝；甜蜜
adj. 甘美的；蜂蜜似的
vt. 对…说甜言蜜语；加蜜使甜
vi. 奉承；说甜言蜜语",待补充,待补充,高考英语词汇
honeymoon,"n. 蜜月；蜜月假期；（新生事物、新建关系等的）短暂的和谐时期
vi. 度蜜月",待补充,待补充,高考英语词汇
honor,"n. 荣誉；信用；头衔
vt. 尊敬（等于honour）；给…以荣誉",待补充,待补充,高考英语词汇
honour,"n. 荣誉；尊敬；勋章
vt. 尊敬； 承兑；承兑远期票据",待补充,待补充,高考英语词汇
honorable,adj. 光荣的；可敬的；高贵的,待补充,待补充,高考英语词汇
honourable,adj. 荣誉的；值得尊敬的；表示尊敬的；正直的,待补充,待补充,高考英语词汇
hook,"n. 挂钩，吊钩
vt. 钩住；引上钩
vi. 钩住；弯成钩状",待补充,待补充,高考英语词汇
hope,"n. 希望；期望；信心
vi. 希望；期待；信赖
vt. 希望；期望",待补充,待补充,高考英语词汇
hopeful,"n. 有希望成功的人
adj. 有希望的；有前途的",待补充,待补充,高考英语词汇
horizon,n.  地平线；视野；眼界；范围,待补充,待补充,高考英语词汇
horn,"n. 喇叭，号角；角
vt. 装角于",待补充,待补充,高考英语词汇
horrible,adj. 可怕的；极讨厌的,待补充,待补充,高考英语词汇
horror,n. 惊骇；惨状；极端厌恶；令人恐怖的事物,待补充,待补充,高考英语词汇
horse,"n. 马；骑兵；脚架；海洛因
vt. 使骑马；系马于；捉弄
vi. 骑马；作弄人",待补充,待补充,高考英语词汇
hospital,n. 医院,待补充,待补充,高考英语词汇
host,"n.  主机；主人；主持人；许多
vt. 主持；当主人招待
vi. 群集；做主人",待补充,待补充,高考英语词汇
hostage,n. 人质；抵押品,待补充,待补充,高考英语词汇
hostess,n. 女主人，女老板；女服务员；舞女；女房东,待补充,待补充,高考英语词汇
hot,"adj. 热的；辣的；热情的；激动的；紧迫的
vt. 增加；给…加温
adv. 热；紧迫地
vi. 变热",待补充,待补充,高考英语词汇
hotel,"n. 旅馆，饭店；客栈
vt. 使…在饭店下榻
vi. 进行旅馆式办公",待补充,待补充,高考英语词汇
