正面 (Word),背面释义 (Definition),例句 (Sentence),词根/助记 (Mnemonic),难度标签 (Tag)
idiom,n. 成语，习语；土话,待补充,待补充,高考英语词汇
if,"conj. （表条件）如果；即使；是否；（表假设）假如
n. 条件；设想",待补充,待补充,高考英语词汇
ignorance,n. 无知，愚昧；不知，不懂,待补充,待补充,高考英语词汇
ignorant,adj. 无知的；愚昧的,待补充,待补充,高考英语词汇
ignore,vt. 驳回诉讼；忽视；不理睬,待补充,待补充,高考英语词汇
ill,"n. 疾病；不幸
adj. 生病的；坏的；邪恶的；不吉利的
adv. 不利地；恶劣地；几乎不",待补充,待补充,高考英语词汇
illegal,"n. 非法移民，非法劳工
adj.  非法的；违法的；违反规则的",待补充,待补充,高考英语词汇
illegible,adj. 难辨认的；字迹模糊的,待补充,待补充,高考英语词汇
illness,n. 病；疾病,待补充,待补充,高考英语词汇
illustrate,"vi. 举例
vt. 阐明，举例说明；图解",待补充,待补充,高考英语词汇
illustration,n. 说明；插图；例证；图解,待补充,待补充,高考英语词汇
image,"n. 影像；想象；肖像；偶像
vt. 想象；反映；象征；作…的像",待补充,待补充,高考英语词汇
imaginary,adj. 虚构的，假想的；想像的；虚数的,待补充,待补充,高考英语词汇
imagination,n.  想象力；空想；幻想物,待补充,待补充,高考英语词汇
imagine,"vi. 想像；猜想；想像起来
vt. 想像；猜想；臆断",待补充,待补充,高考英语词汇
imitate,vt. 模仿，仿效；仿造，仿制,待补充,待补充,高考英语词汇
immediate,adj. 立即的；直接的；最接近的,待补充,待补充,高考英语词汇
immigrant,"n. 移民，侨民
adj. 移民的；迁入的",待补充,待补充,高考英语词汇
immigrate,"vi. 移入
vt. 使移居入境",待补充,待补充,高考英语词汇
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响",待补充,待补充,高考英语词汇
impatient,adj. 焦躁的；不耐心的,待补充,待补充,高考英语词汇
imperial,"n. 纸张尺寸；特等品
adj. 帝国的；皇帝的；至高无上的；威严的",待补充,待补充,高考英语词汇
impersonal,"n. 非人称动词；不具人格的事物
adj. 客观的；非个人的；没有人情味的；非人称的",待补充,待补充,高考英语词汇
implement,"n. 工具，器具；手段
vt. 实施，执行；实现，使生效",待补充,待补充,高考英语词汇
implication,n. 含义；暗示；牵连，卷入；可能的结果，影响,待补充,待补充,高考英语词汇
imply,vt. 意味；暗示；隐含,待补充,待补充,高考英语词汇
import,"n. 进口，进口货；输入；意思，含义；重要性
vt. 输入，进口；含…的意思
vi. 输入，进口",待补充,待补充,高考英语词汇
importance,n. 价值；重要；重大；傲慢,待补充,待补充,高考英语词汇
impose,"vt. 强加；征税；以…欺骗
vi. 利用；欺骗；施加影响",待补充,待补充,高考英语词汇
imposing,"v. impose的ing形式
adj. （建筑物等）壮观的；威风的；（仪表）堂堂的；给人深刻印象的",待补充,待补充,高考英语词汇
