正面 (Word),背面释义 (Definition),例句 (Sentence),词根/助记 (Mnemonic),难度标签 (Tag)
invade,"vt. 侵略；侵袭；侵扰；涌入
vi. 侵略；侵入；侵袭；侵犯",待补充,待补充,高考英语词汇
invent,vt. 发明；创造；虚构,待补充,待补充,高考英语词汇
invention,n. 发明；发明物；虚构；发明才能,待补充,待补充,高考英语词汇
inventor,n. 发明家； 发明人；创造者,待补充,待补充,高考英语词汇
invest,"vi. 投资，入股；花钱买
vt. 投资；覆盖；耗费；授予；包围",待补充,待补充,高考英语词汇
investigate,v. 调查；研究,待补充,待补充,高考英语词汇
investment,n. 投资；投入；封锁,待补充,待补充,高考英语词汇
invisible,adj. 无形的，看不见的；无形的；不显眼的，暗藏的,待补充,待补充,高考英语词汇
invitation,n. 邀请；引诱；请帖；邀请函,待补充,待补充,高考英语词汇
invite,"n. 邀请
vt. 邀请，招待；招致",待补充,待补充,高考英语词汇
inviting,"v. 邀请（invite的ing形式）
adj. 诱人的；有魅力的",待补充,待补充,高考英语词汇
involve,vt. 包含；牵涉；使陷于；潜心于,待补充,待补充,高考英语词汇
iron,"n. 熨斗；烙铁；坚强
adj. 铁的；残酷的；刚强的
vt. 熨；用铁铸成
vi. 熨衣；烫平",待补充,待补充,高考英语词汇
irregular,"n. 不规则物；不合规格的产品
adj. 不规则的；无规律的；非正规的；不合法的",待补充,待补充,高考英语词汇
island,"n. 岛；岛屿；安全岛；岛状物
adj. 岛的
vt. 孤立；使成岛状",待补充,待补充,高考英语词汇
isolate,"n.  隔离种群
vt. 使隔离；使孤立；使绝缘
adj. 隔离的；孤立的
vi. 隔离；孤立",待补充,待补充,高考英语词汇
issue,"n. 问题；流出；期号；发行物
vt. 发行，发布；发给；放出，排出
vi. 发行；流出；造成…结果；传下",待补充,待补充,高考英语词汇
it,"abbr. 信息技术information technology
abbr. 意大利Italy；意大利的Italian",待补充,待补充,高考英语词汇
item,"n. 条款，项目；一则；一件商品（或物品）
adj. 又，同上
v. 记下；逐条列出",待补充,待补充,高考英语词汇
its,pron. 它的,待补充,待补充,高考英语词汇
itself,pron. 它自己；它本身,待补充,待补充,高考英语词汇
jacket,"n. 羽绒滑雪衫；西装短外套；短上衣，夹克；土豆皮；书籍的护封；文件套，公文夹
vt. 给…穿夹克；给…装护套；给…包上护封；打",待补充,待补充,高考英语词汇
jail,"n. 监狱；监牢；拘留所
vt. 监禁；下狱",待补充,待补充,高考英语词汇
jam,"n. 果酱；拥挤；困境；扣篮
vt. 使堵塞；挤进，使塞满；混杂；压碎
vi. 堵塞；轧住",待补充,待补充,高考英语词汇
jar,"n. 罐；广口瓶；震动；刺耳声
vi. 冲突；不一致；震惊；发刺耳声
vt. 震动；刺激；使震动",待补充,待补充,高考英语词汇
jaw,"n. 颌；下巴；狭窄入口；唠叨
vt. 教训；对…唠叨
vi. 教训；唠叨",待补充,待补充,高考英语词汇
jazz,"n. 爵士乐，爵士舞；喧闹
vi. 奏爵士乐，跳爵士舞；游荡
vt. 奏爵士乐；使活泼
adj. 爵士乐的；喧吵的",待补充,待补充,高考英语词汇
jealous,adj. 妒忌的；猜疑的；唯恐失去的；戒备的,待补充,待补充,高考英语词汇
jeans,n. 牛仔裤；工装裤,待补充,待补充,高考英语词汇
jeep,n. 吉普车,待补充,待补充,高考英语词汇
