正面 (Word),背面释义 (Definition),例句 (Sentence),词根/助记 (Mnemonic),难度标签 (Tag)
jet,"n. 喷射，喷嘴；喷气式飞机；黑玉
adj. 墨黑的
vt. 射出
vi. 射出； 乘喷气式飞机",待补充,待补充,高考英语词汇
jewel,"n. 宝石；珠宝
vt. 镶以宝石；饰以珠宝",待补充,待补充,高考英语词汇
job,"n. 工作；职业
vt. 承包；代客买卖
vi. 做零工",待补充,待补充,高考英语词汇
jog,"vt. 慢跑；轻推；蹒跚行进；使颠簸
vi. 慢跑；轻推；蹒跚行进；颠簸着移动
n. 慢跑；轻推，轻撞",待补充,待补充,高考英语词汇
join,"vt. 参加；结合；连接
vi. 加入；参加；结合
n. 结合；连接；接合点",待补充,待补充,高考英语词汇
joint,"n. 关节；接缝；接合处，接合点；（牛，羊等的腿）大块肉
adj. 共同的；连接的；联合的，合办的
vt. 连接，贴合；接合；使有接头
vi. 贴合；生节",待补充,待补充,高考英语词汇
joke,"n. 玩笑，笑话；笑柄
vt. 开…的玩笑
vi. 开玩笑",待补充,待补充,高考英语词汇
journal,n. 日报，杂志；日记；分类账,待补充,待补充,高考英语词汇
journalist,n. 新闻工作者；报人；记日志者,待补充,待补充,高考英语词汇
journey,"n. 旅行；行程
vi. 旅行",待补充,待补充,高考英语词汇
joy,"n. 欢乐，快乐；乐趣；高兴
vi. 欣喜，欢喜
vt. 高兴，使快乐",待补充,待补充,高考英语词汇
judge,"vt. 判断；审判
n. 法官；裁判员
vi. 审判；判决",待补充,待补充,高考英语词汇
judgment,n. 判断；裁判；判决书；辨别力,待补充,待补充,高考英语词汇
judgement,n. 意见；判断力； 审判；评价,待补充,待补充,高考英语词汇
juice,n. （水果）汁，液；果汁,待补充,待补充,高考英语词汇
jump,"n. 跳跃；暴涨；惊跳
vt. 跳跃；使跳跃；跳过；突升
vi. 跳跃；暴涨；猛增",待补充,待补充,高考英语词汇
jungle,"n. 丛林，密林；危险地带
adj. 丛林的；蛮荒的",待补充,待补充,高考英语词汇
junior,"adj. 年少的；后进的；下级的
n. 年少者，晚辈；地位较低者；大学三年级学生",待补充,待补充,高考英语词汇
jury,"n.  陪审团；评判委员会
adj. 应急的",待补充,待补充,高考英语词汇
just,"adv. 只是，仅仅；刚才，刚刚；正好，恰好；实在；刚要
adj. 公正的，合理的；正直的，正义的；正确的；公平的；应得的",待补充,待补充,高考英语词汇
justice,n. 司法，法律制裁；正义；法官，审判员,待补充,待补充,高考英语词汇
justify,"vi. 证明合法；整理版面
vt. 证明…是正当的；替…辩护",待补充,待补充,高考英语词汇
keen,"adj. 敏锐的，敏捷的；渴望的；强烈的；热心的；锐利的
n. 痛哭，挽歌",待补充,待补充,高考英语词汇
keep,"vt. 保持；经营；遵守；饲养
vi. 保持；继续不断
n. 保持；生计；生活费",待补充,待补充,高考英语词汇
keeper,n. 监护人；饲养员；看守人；管理人,待补充,待补充,高考英语词汇
kettle,n. 壶； 釜；罐；鼓,待补充,待补充,高考英语词汇
key,"n. （打字机等的）键；关键；钥匙
vt. 键入；锁上；调节…的音调；提供线索
vi. 使用钥匙
adj. 关键的",待补充,待补充,高考英语词汇
keyboard,"n. 键盘
vt. 键入；用键盘式排字机排字
vi. 用键盘进行操作；作键盘式排字机排字",待补充,待补充,高考英语词汇
kick,"vt. 踢；反冲，朝后座
n. 踢；反冲，后座力
vi. 踢；反冲",待补充,待补充,高考英语词汇
kid,"n. 小孩；小山羊
vt. 欺骗；取笑；戏弄
vi. 欺骗；取笑；戏弄
adj. 小山羊皮制的；较年幼的",待补充,待补充,高考英语词汇
