正面 (Word),背面释义 (Definition),例句 (Sentence),词根/助记 (Mnemonic),难度标签 (Tag)
kidnap,vt. 绑架；诱拐；拐骗,待补充,待补充,高考英语词汇
kill,"vt. 杀死；扼杀；使终止；抵消
vi. 杀死
n. 杀戮；屠杀
adj. 致命的；致死的",待补充,待补充,高考英语词汇
kilogram,n. 公斤；千克,待补充,待补充,高考英语词汇
kilometre,n.  公里； 千米,待补充,待补充,高考英语词汇
kilometer,n.  公里； 千米（等于kilometre）,待补充,待补充,高考英语词汇
kind,"n. 种类；性质
adj. 和蔼的；宽容的；令人感激的",待补充,待补充,高考英语词汇
kindergarten,n. 幼儿园；幼稚园,待补充,待补充,高考英语词汇
kindly,"adv. 亲切地；温和地；仁慈地
adj. 亲切的；和蔼的；体贴的；爽快的",待补充,待补充,高考英语词汇
kindness,n. 仁慈；好意；友好的行为,待补充,待补充,高考英语词汇
king,"n. 国王；最有势力者；王棋
vi. 统治；做国王
vt. 立…为王
adj. 主要的，最重要的，最大的",待补充,待补充,高考英语词汇
kingdom,n. 王国；界；领域,待补充,待补充,高考英语词汇
kiss,"vt. 吻；（风等）轻拂
vi. 接吻；（风等）轻触
n. 吻；轻拂",待补充,待补充,高考英语词汇
kitchen,n. 厨房；炊具；炊事人员,待补充,待补充,高考英语词汇
kite,"n. 风筝
vi. 使用空头支票；像风筝一样飞；轻快地移动
vt. 骗钱；涂改（支票）",待补充,待补充,高考英语词汇
kitten,"n. 小猫；小动物
vi. 产小猫",待补充,待补充,高考英语词汇
knee,"n. 膝盖，膝
vt. 用膝盖碰",待补充,待补充,高考英语词汇
kneel,vi. 跪下，跪,待补充,待补充,高考英语词汇
knife,"n. 刀；匕首
vt. 用刀切；（口）伤害
vi. 劈开；划过",待补充,待补充,高考英语词汇
knock,"vi. 敲；打；敲击
vt. 敲；打；敲击；批评
n. 敲；敲打；爆震声",待补充,待补充,高考英语词汇
know,"vt. 知道；认识；懂得
vi. 了解；熟悉；确信",待补充,待补充,高考英语词汇
knowledge,n. 知识，学问；知道，认识；学科,待补充,待补充,高考英语词汇
knowledgeable,adj. 知识渊博的，有知识的；有见识的；聪明的,待补充,待补充,高考英语词汇
lab,n. 实验室，研究室,待补充,待补充,高考英语词汇
label,"vt. 标注；贴标签于
n. 标签；商标；签条",待补充,待补充,高考英语词汇
labor,"n. 劳动；工作；劳工；分娩
vi. 劳动；努力；苦干
vt. 详细分析；使厌烦",待补充,待补充,高考英语词汇
labour,n. （英国）工党,待补充,待补充,高考英语词汇
lack,"vt. 缺乏；不足；没有；需要
vi. 缺乏；不足；没有
n. 缺乏；不足",待补充,待补充,高考英语词汇
lady,n. 女士，夫人；小姐；妻子,待补充,待补充,高考英语词汇
lake,"n. 湖；深红色颜料；胭脂红
vt. （使）血球溶解
vi. （使）血球溶解",待补充,待补充,高考英语词汇
lamb,"n. 羔羊，小羊；羔羊肉
vt. 生小羊，产羔羊
vi. 生小羊，产羔羊",待补充,待补充,高考英语词汇
