正面 (Word),背面释义 (Definition),例句 (Sentence),词根/助记 (Mnemonic),难度标签 (Tag)
license,"n. 执照，许可证；特许
vt. 许可；特许；发许可证给",待补充,待补充,高考英语词汇
lid,"n. 盖子；眼睑；限制
vt. 给…盖盖子",待补充,待补充,高考英语词汇
lie,"vi. 躺；说谎；位于；展现
vt. 谎骗
n. 谎言；位置",待补充,待补充,高考英语词汇
life,n. 生活，生存；寿命,待补充,待补充,高考英语词汇
lift,"vt. 举起；提升；鼓舞；空运；抄袭
vi. 消散；升起；耸立
n. 电梯；举起；起重机；搭车",待补充,待补充,高考英语词汇
light,"n. 光；光线；灯；打火机；领悟；浅色；天窗
adj. 轻的；浅色的；明亮的；轻松的；容易的；清淡的
vi. 点着；变亮；着火
vt. 照亮；点燃；着火
adv. 轻地；清楚地；轻便地 
 n. 光；光线；灯；打火机；领悟；浅色；天窗
adj. 轻的；浅色的；明亮的；轻松的；容易的；清淡的
vi. 点着；变亮；着火
vt. 照亮；点燃；着火
adv. 轻地；清楚地；轻便地",待补充,待补充,高考英语词汇
lightning,"adj. 闪电的；快速的
n. 闪电
vi. 闪电",待补充,待补充,高考英语词汇
like,"vt. 喜欢；想；愿意
vi. 喜欢；希望
prep. 像；如同
adj. 同样的；相似的
n. 爱好；同样的人或物
adv. 可能
conj. 好像 
 vt. 喜欢；想；愿意
vi. 喜欢；希望
prep. 像；如同
adj. 同样的；相似的
n. 爱好；同样的人或物
adv. 可能
conj. 好像",待补充,待补充,高考英语词汇
likely,"adj. 很可能的；合适的；有希望的
adv. 很可能；或许",待补充,待补充,高考英语词汇
limit,"n. 限制；限度；界线
vt. 限制；限定",待补充,待补充,高考英语词汇
line,"n. 路线，航线；排；绳
vt. 排成一行；划线于；以线条标示；使…起皱纹
vi. 排队；站成一排",待补充,待补充,高考英语词汇
link,"n.  链环，环节；联系，关系
vt. 连接，连结；联合，结合
vi. 连接起来；联系在一起；将人或物连接或联系起来",待补充,待补充,高考英语词汇
lion,n. 狮子；名人；勇猛的人；社交场合的名流,待补充,待补充,高考英语词汇
lip,"n. 嘴唇；边缘
vt. 以嘴唇碰
adj. 口头上的
vi. 用嘴唇",待补充,待补充,高考英语词汇
liquid,"adj. 液体的；清澈的；明亮的；易变的
n. 液体，流体；流音",待补充,待补充,高考英语词汇
list,"n.  列表；清单；目录
vi. 列于表上
vt. 列出；记入名单内",待补充,待补充,高考英语词汇
listen,"vi. 听，倾听；听从，听信
n. 听，倾听",待补充,待补充,高考英语词汇
literature,n. 文学；文献；文艺；著作,待补充,待补充,高考英语词汇
litre,n.  公升（米制容量单位）,待补充,待补充,高考英语词汇
liter,n.  公升（容量单位）,待补充,待补充,高考英语词汇
litter,"n. 垃圾；轿，担架；一窝（动物的幼崽）；凌乱
vt. 乱丢；给…垫褥草；把…弄得乱七八糟
vi. 产仔；乱扔废弃物",待补充,待补充,高考英语词汇
litterbin,n. （英）废物箱,待补充,待补充,高考英语词汇
little,"adj. 小的；很少的；短暂的；小巧可爱的
adv. 完全不
n. 少许；没有多少；短时间",待补充,待补充,高考英语词汇
live,"adj. 活的；生动的；实况转播的；精力充沛的
vt. 经历；度过
vi. 活；居住；生存",待补充,待补充,高考英语词汇
lively,adj. 活泼的；生动的；真实的；生气勃勃的,待补充,待补充,高考英语词汇
liver,n. 肝脏；生活者，居民,待补充,待补充,高考英语词汇
load,"n. 负载，负荷；工作量；装载量
vi.  加载；装载；装货
vt. 使担负；装填",待补充,待补充,高考英语词汇
loaf,"n. 条，一条面包；块；游荡
vt. 游荡；游手好闲；虚度光阴
vi. 游荡；游手好闲；虚度光阴",待补充,待补充,高考英语词汇
loan,"n. 贷款；借款
vi. 借出
vt. 借；借给",待补充,待补充,高考英语词汇
local,"n.  局部；当地居民；本地新闻
adj. 当地的；局部的；地方性的；乡土的",待补充,待补充,高考英语词汇
