正面 (Word),背面释义 (Definition),例句 (Sentence),词根/助记 (Mnemonic),难度标签 (Tag)
lump,"n. 块，块状；肿块；瘤；很多；笨人
vt. 混在一起；使成块状；忍耐；笨重地移动
vi. 结块
adj. 成团的；总共的
adv. 很；非常",待补充,待补充,高考英语词汇
lunch,"n. 午餐
vt. 吃午餐；供给午餐
vi. 吃午餐；供给午餐",待补充,待补充,高考英语词汇
lung,n. 肺；呼吸器,待补充,待补充,高考英语词汇
luxury,"n. 奢侈，奢华；奢侈品；享受
adj. 奢侈的",待补充,待补充,高考英语词汇
machine,"n. 机械，机器；机构；机械般工作的人
vt. 用机器制造",待补充,待补充,高考英语词汇
machinery,n. 机械；机器；机构；机械装置,待补充,待补充,高考英语词汇
mad,"adj. 疯狂的；发疯的；愚蠢的；着迷的
n. 狂怒",待补充,待补充,高考英语词汇
madam,n. 夫人；女士；鸨母,待补充,待补充,高考英语词汇
magazine,n. 杂志；弹药库；胶卷盒,待补充,待补充,高考英语词汇
magic,"n. 巫术；魔法；戏法
adj. 不可思议的；有魔力的；魔术的",待补充,待补充,高考英语词汇
magical,adj. 魔术的；有魔力的,待补充,待补充,高考英语词汇
magnificent,adj. 高尚的；壮丽的；华丽的；宏伟的,待补充,待补充,高考英语词汇
maid,"n. 女仆；少女
vt. 侍候；做新娘的女傧相
vi. 当女仆",待补充,待补充,高考英语词汇
mail,"n. 邮件；邮政，邮递；盔甲
vt. 邮寄；给…穿盔甲
vi. 邮寄；寄出",待补充,待补充,高考英语词汇
main,"n. 主要部分，要点；体力；总管道
adj. 主要的，最重要的；全力的",待补充,待补充,高考英语词汇
mainland,"n. 大陆；本土
adj. 大陆的；本土的",待补充,待补充,高考英语词汇
maintain,vt. 维持；继续；维修；主张；供养,待补充,待补充,高考英语词汇
major,"adj. 主要的；重要的；主修的；较多的
n.  成年人；主修科目；陆军少校
vi. 主修",待补充,待补充,高考英语词汇
majority,n. 多数；成年,待补充,待补充,高考英语词汇
make,"vt. 使得；进行；布置，准备，整理；制造；认为；获得；形成；安排；引起；构成
vi. 开始；前进；增大；被制造
n. 制造；构造；性情",待补充,待补充,高考英语词汇
male,"adj. 男性的；雄性的；有力的
n. 男人；雄性动物",待补充,待补充,高考英语词汇
man,"n. 人；男人；人类；丈夫；雇工
vt. 操纵；给…配置人员；使增强勇气；在…就位",待补充,待补充,高考英语词汇
manage,"vt. 管理；经营；控制；设法
vi. 处理；应付过去",待补充,待补充,高考英语词汇
manager,n. 经理；管理人员,待补充,待补充,高考英语词汇
mankind,n. 人类；男性,待补充,待补充,高考英语词汇
man-made,adj. 人造的；人工的；合成的,待补充,待补充,高考英语词汇
manner,n. 方式；习惯；种类；规矩；风俗,待补充,待补充,高考英语词汇
mansion,n. 大厦；宅邸,待补充,待补充,高考英语词汇
manufacture,"n. 制造；产品；制造业
vt. 制造；加工；捏造
vi. 制造",待补充,待补充,高考英语词汇
manufacturer,n. 制造商； 厂商,待补充,待补充,高考英语词汇
