正面 (Word),背面释义 (Definition),例句 (Sentence),词根/助记 (Mnemonic),难度标签 (Tag)
meantime,"n. 其时，其间
adv. 同时；其间",待补充,待补充,高考英语词汇
meanwhile,"adv. 同时，其间
n. 其间，其时",待补充,待补充,高考英语词汇
measure,"n. 测量；措施；程度；尺寸
vt. 测量；估量；权衡
vi. 测量；估量",待补充,待补充,高考英语词汇
meat,n. 肉，肉类（食用）,待补充,待补充,高考英语词汇
mechanic,"n. 技工，机修工
adj. 手工的",待补充,待补充,高考英语词汇
mechanical,adj. 机械的；力学的；呆板的；无意识的；手工操作的,待补充,待补充,高考英语词汇
medal,n. 勋章，奖章；纪念章,待补充,待补充,高考英语词汇
medical,"adj. 医学的；药的；内科的
n. 医生；体格检查",待补充,待补充,高考英语词汇
medicine,"n. 药；医学；内科；巫术
vt. 用药物治疗；给…用药",待补充,待补充,高考英语词汇
medium,"adj. 中间的，中等的；半生熟的
n. 方法；媒体；媒介；中间物",待补充,待补充,高考英语词汇
meet,"vt. 满足；遇见；对付
vi. 相遇；接触
n. 集会
adj. 合适的；适宜的",待补充,待补充,高考英语词汇
meeting,"n. 会议；会见；集会；汇合点
v. 会面；会合（meet的ing形式）",待补充,待补充,高考英语词汇
melon,n. 瓜；甜瓜；大肚子；圆鼓鼓像瓜似的东西,待补充,待补充,高考英语词汇
melt,"vi. 熔化，溶解；渐混
vt. 使融化；使熔化；使软化；使感动
n. 熔化；熔化物",待补充,待补充,高考英语词汇
member,n. 成员；会员；议员,待补充,待补充,高考英语词汇
memo,n. 备忘录,待补充,待补充,高考英语词汇
memorable,adj. 显著的，难忘的；值得纪念的,待补充,待补充,高考英语词汇
memorandum,n. 备忘录；便笺,待补充,待补充,高考英语词汇
memorial,"n. 纪念碑，纪念馆；纪念仪式；纪念物
adj. 记忆的；纪念的，追悼的",待补充,待补充,高考英语词汇
memorize,vt. 记住，背熟；记忆,待补充,待补充,高考英语词汇
memory,n. 记忆，记忆力；内存， 存储器；回忆,待补充,待补充,高考英语词汇
mend,"vt. 修理，修补；改善；修改
vi. 改善，好转
n. 好转，改进；修补处",待补充,待补充,高考英语词汇
mental,"adj. 精神的；脑力的；疯的
n. 精神病患者",待补充,待补充,高考英语词汇
mention,"vt. 提到，谈到；提及，论及；说起
n. 提及，说起",待补充,待补充,高考英语词汇
menu,"n. 菜单
饭菜",待补充,待补充,高考英语词汇
merchant,"n. 商人，批发商；店主
adj. 商业的，商人的",待补充,待补充,高考英语词汇
mercy,n. 仁慈，宽容；怜悯；幸运；善行,待补充,待补充,高考英语词汇
mere,"adj. 仅仅的；只不过的
n. 小湖；池塘",待补充,待补充,高考英语词汇
merry,"adj. 愉快的；微醉的；嬉戏作乐的
n. 甜樱桃",待补充,待补充,高考英语词汇
mess,"n. 混乱；食堂，伙食团；困境；脏乱的东西
vt. 弄乱，弄脏；毁坏；使就餐
vi. 把事情弄糟；制造脏乱；玩弄",待补充,待补充,高考英语词汇
