正面 (Word),背面释义 (Definition),例句 (Sentence),词根/助记 (Mnemonic),难度标签 (Tag)
near,"adj. 近的；亲近的；近似的
adv. 近；接近
prep. 靠近；近似于",待补充,待补充,高考英语词汇
nearby,"adj. 附近的，邻近的
adv. 在附近
prep. 在…附近",待补充,待补充,高考英语词汇
nearly,adv. 差不多，几乎；密切地,待补充,待补充,高考英语词汇
neat,adj. 灵巧的；整洁的；优雅的；齐整的；未搀水的；平滑的,待补充,待补充,高考英语词汇
necessary,"adj. 必要的；必需的；必然的
n. 必需品",待补充,待补充,高考英语词汇
neck,"n. 脖子；衣领；海峡
vi. 搂著脖子亲吻；变狭窄
vt. 使变细；与…搂著脖子亲吻",待补充,待补充,高考英语词汇
necklace,n. 项链,待补充,待补充,高考英语词汇
need,"n. 需要，要求；缺乏；必要之物
vt. 需要
vi. 需要",待补充,待补充,高考英语词汇
needle,"n. 针；指针；刺激；针状物
vi. 缝纫；做针线
vt. 刺激；用针缝",待补充,待补充,高考英语词汇
negative,"adj.  负的；消极的；否定的；阴性的
n. 否定；负数； 底片
vt. 否定；拒绝",待补充,待补充,高考英语词汇
neglect,"vt. 疏忽，忽视；忽略
n. 疏忽，忽视；怠慢",待补充,待补充,高考英语词汇
negotiate,"vt. 谈判，商议；转让；越过
vi. 谈判，交涉",待补充,待补充,高考英语词汇
neighbor,"n. 邻居
adj. 邻近的
vi. 友好；毗邻而居
vt. 邻接",待补充,待补充,高考英语词汇
neighbour,"n. n. 邻居;同胞；仁慈的人
vt. 邻接
vi. 住在邻近；毗邻；友善，和睦
adj. 邻居的；邻近的",待补充,待补充,高考英语词汇
neighborhood,n. 附近；街坊；接近；街区,待补充,待补充,高考英语词汇
neighbourhood,n. 邻近；周围；邻居关系；附近一带,待补充,待补充,高考英语词汇
neither,"conj. 也不；既不
adv. 两个都不；既不……也不
adj. 两者都不的
pron. 两者都不",待补充,待补充,高考英语词汇
nephew,n. 侄子；外甥,待补充,待补充,高考英语词汇
nerve,"n. 神经；勇气； 叶脉
vt. 鼓起勇气",待补充,待补充,高考英语词汇
nervous,adj. 神经的；紧张不安的；强健有力的,待补充,待补充,高考英语词汇
net,"n. 网；网络；净利；实价
vi. 编网
vt. 得到；净赚；用网捕
adj. 纯粹的；净余的",待补充,待补充,高考英语词汇
network,n. 网络；广播网；网状物,待补充,待补充,高考英语词汇
never,adv. 从未；决不,待补充,待补充,高考英语词汇
nevertheless,"adv. 然而，不过；虽然如此
conj. 然而，不过",待补充,待补充,高考英语词汇
new,"adj. 新的，新鲜的；更新的；初见的
adv. 新近",待补充,待补充,高考英语词汇
newcomer,n.  新来者；新到的移民,待补充,待补充,高考英语词汇
news,n. 新闻，消息；新闻报导,待补充,待补充,高考英语词汇
newsagent,n. 报刊经销商,待补充,待补充,高考英语词汇
newspaper,"n. 报纸
报社
旧报纸",待补充,待补充,高考英语词汇
next,"adv. 然后；下次；其次
adj. 下一个的；其次的；贴近的
n. 下一个
prep. 靠近；居于…之后",待补充,待补充,高考英语词汇
