正面 (Word),背面释义 (Definition),例句 (Sentence),词根/助记 (Mnemonic),难度标签 (Tag)
nowadays,"adv. 现今；时下
n. 当今",待补充,待补充,高考英语词汇
nowhere,"adv. 无处；任何地方都不；毫无结果
n. 无处；任何地方；无名之地
adj. 不存在的；毫无结果的；不知名的",待补充,待补充,高考英语词汇
nuclear,adj. 原子能的； 细胞核的；中心的；原子核的,待补充,待补充,高考英语词汇
number,"n. 数；（杂志等的）期；号码；数字；算术
vi. 计入；总数达到
vt. 编号；计入；数…的数目；使为数有限",待补充,待补充,高考英语词汇
numerous,adj. 许多的，很多的,待补充,待补充,高考英语词汇
nurse,"vt. 看护，护理；照顾；培养；给…喂奶
vi. 照料，护理；喂奶；当保姆
n. 护士；奶妈，保姆",待补充,待补充,高考英语词汇
nursery,n. 苗圃；托儿所；温床,待补充,待补充,高考英语词汇
nursing,"n. 护理；看护；养育
v. 看护；养育（nurse的ing形式）",待补充,待补充,高考英语词汇
nut,"n. 螺母，螺帽；坚果；难对付的人，难解的问题
vi. 采坚果",待补充,待补充,高考英语词汇
nutrient,"n. 营养物；滋养物
adj. 营养的；滋养的",待补充,待补充,高考英语词汇
nutrition,n. 营养，营养学；营养品,待补充,待补充,高考英语词汇
obey,"vt. 服从，听从；按照……行动
vi. 服从，顺从；听话",待补充,待补充,高考英语词汇
object,"n. 目标；物体；客体；宾语
vt. 提出…作为反对的理由
vi. 反对；拒绝",待补充,待补充,高考英语词汇
objection,n. 异议，反对；缺陷，缺点；妨碍；拒绝的理由,待补充,待补充,高考英语词汇
objective,"adj. 客观的；目标的；宾格的
n. 目的；目标； 物镜；宾格",待补充,待补充,高考英语词汇
oblige,"vt. 迫使；强制；赐，施恩惠；责成；义务
vi. 帮忙；施恩惠",待补充,待补充,高考英语词汇
observation,n. 观察；监视；观察报告,待补充,待补充,高考英语词汇
observe,"vt. 庆祝
vt. 观察；遵守；说；注意到；评论
vi. 观察；说；注意到；评论",待补充,待补充,高考英语词汇
obstacle,n. 障碍，干扰；妨害物,待补充,待补充,高考英语词汇
obtain,"vi. 获得；流行
vt. 获得",待补充,待补充,高考英语词汇
obvious,adj. 明显的；显著的；平淡无奇的,待补充,待补充,高考英语词汇
occasion,"n. 时机，机会；场合；理由
vt. 引起，惹起",待补充,待补充,高考英语词汇
occasional,adj. 偶然的；临时的；特殊场合的,待补充,待补充,高考英语词汇
occupation,n. 职业；占有；消遣；占有期,待补充,待补充,高考英语词汇
occupy,vt. 占据，占领；居住；使忙碌,待补充,待补充,高考英语词汇
occur,vi. 发生；出现；存在,待补充,待补充,高考英语词汇
ocean,n. 海洋；大量；广阔,待补充,待补充,高考英语词汇
o'clock,abbr. …点钟（等于of the clock）,待补充,待补充,高考英语词汇
odd,"adj. 奇数的；古怪的；剩余的；临时的；零散的
n. 奇数；怪人；奇特的事物",待补充,待补充,高考英语词汇
of,prep. 关于；属于；…的；由…组成的,待补充,待补充,高考英语词汇
