正面 (Word),背面释义 (Definition),例句 (Sentence),词根/助记 (Mnemonic),难度标签 (Tag)
opportunity,n. 时机，机会,待补充,待补充,高考英语词汇
oppose,"vt. 反对；对抗，抗争
vi. 反对",待补充,待补充,高考英语词汇
opposite,"adj. 相反的；对面的；对立的
n. 对立面；反义词
prep. 在…的对面
adv. 在对面",待补充,待补充,高考英语词汇
oppress,vt. 压迫，压抑；使……烦恼；使……感到沉重,待补充,待补充,高考英语词汇
or,conj. 或，或者；还是,待补充,待补充,高考英语词汇
oral,"n. 口试
adj. 口头的，口述的",待补充,待补充,高考英语词汇
orange,"adj. 橙色的；橘色的
n. 橙；橙色；桔子",待补充,待补充,高考英语词汇
orchestra,n. 管弦乐队；乐队演奏处,待补充,待补充,高考英语词汇
order,"n. 命令；顺序；规则； 定单
vt. 命令；整理；定购
vi. 命令；定货",待补充,待补充,高考英语词汇
orderly,"adj. 有秩序的；整齐的；值班的
n. 勤务兵；传令兵；护理员
adv. 顺序地；依次地",待补充,待补充,高考英语词汇
ordinary,"adj. 普通的；平凡的；平常的
n. 普通；平常的人（或事）",待补充,待补充,高考英语词汇
organ,n.  器官；机构；风琴；管风琴；嗓音,待补充,待补充,高考英语词汇
organization,n. 组织；机构；体制；团体,待补充,待补充,高考英语词汇
organize,"vt. 组织；使有系统化；给予生机；组织成立工会等
vi. 组织起来；成立组织",待补充,待补充,高考英语词汇
origin,n. 起源；原点；出身；开端,待补充,待补充,高考英语词汇
original,"n. 原件；原作；原物；原型
adj. 原始的；最初的；独创的；新颖的",待补充,待补充,高考英语词汇
orphan,"adj. 孤儿的；无双亲的
n. 孤儿
vt. 使成孤儿",待补充,待补充,高考英语词汇
orphanage,n. 孤儿院；孤儿身份,待补充,待补充,高考英语词汇
other,"adj. 其他的，另外的
pron. 另外一个",待补充,待补充,高考英语词汇
otherwise,"adv. 否则；另外；在其他方面
adj. 另外的；其他方面的；原本，本来
conj. 其他；如果不；然后",待补充,待补充,高考英语词汇
ought to,"modalv. 应该；应当；（表示期望或可能发生的事）应该；（表示劝告或建议）应该
v. 应该
 理应；应然；应该要",待补充,待补充,高考英语词汇
ounce,n. 盎司；少量；雪豹,待补充,待补充,高考英语词汇
our,pron. 我们的,待补充,待补充,高考英语词汇
ours,pron. 我们的,待补充,待补充,高考英语词汇
ourselves,pron. 我们自己；我们亲自,待补充,待补充,高考英语词汇
out,"adv. 出现；在外；出局；出声地；不流行地
adj. 外面的；出局的；下台的
n. 出局
prep. 向；离去
vi. 出来；暴露
vt. 使熄灭；驱逐",待补充,待补充,高考英语词汇
outcome,n. 结果，结局；成果,待补充,待补充,高考英语词汇
outdoor,adj. 户外的；露天的；野外的（等于out-of-door）,待补充,待补充,高考英语词汇
outdoors,"adv. 在户外
n. 户外
adj. 户外的（等于outdoor）",待补充,待补充,高考英语词汇
outer,"adj. 外面的，外部的；远离中心的
n. 环外命中",待补充,待补充,高考英语词汇
