正面 (Word),背面释义 (Definition),例句 (Sentence),词根/助记 (Mnemonic),难度标签 (Tag)
outline,"n. 轮廓；大纲；概要；略图
vt. 概述；略述；描画…轮廓",待补充,待补充,高考英语词汇
outlook,"n. 展望；观点；景色
vt. 比……好看；用目光压倒
vi. 朝外看",待补充,待补充,高考英语词汇
output,"n. 输出，输出量；产量；出产
vt. 输出",待补充,待补充,高考英语词汇
outside,"adj. 外面的，外部的；外来的
n. 外部；外观
adv. 在外面，向外面；在室外
prep. 在…范围之外",待补充,待补充,高考英语词汇
outstanding,"adj. 杰出的；显著的；未解决的；未偿付的
n. 未偿贷款",待补充,待补充,高考英语词汇
outward,"adj. 向外的；外面的；公开的；外服的；肉体的
adv. 向外（等于outwards）；在外；显而易见地
n. 外表；外面；物质世界",待补充,待补充,高考英语词汇
over,"adv. 结束；越过；从头到尾
prep. 越过；在…之上；遍于…之上
adj. 结束的；上面的
vt. 越过",待补充,待补充,高考英语词汇
overall,"adj. 全部的；全体的；一切在内的
adv. 全部地；总的说来
n. 工装裤；罩衫",待补充,待补充,高考英语词汇
overcoat,n. 大衣，外套,待补充,待补充,高考英语词汇
overcome,"vt. 克服；胜过
vi. 克服；得胜",待补充,待补充,高考英语词汇
overflow,"vi. 溢出；泛滥；充溢
n. 充满，洋溢；泛滥；超值；溢值
vt. 使溢出；使泛滥；使充溢",待补充,待补充,高考英语词汇
overhead,"adv. 在头顶上；在空中；在高处
adj. 高架的；在头上的；在头顶上的
n. 天花板； 经常费用；间接费用；吊脚架空层",待补充,待补充,高考英语词汇
overlook,"vt. 忽略；俯瞰；远眺；检查；高耸于…之上
n. 忽视；眺望",待补充,待补充,高考英语词汇
overnight,"adv. 通宵；突然；昨晚
adj. 晚上的；通宵的；前夜的
n. 头天晚上；一夜的逗留
vt. 连夜快递
vi. 过一夜",待补充,待补充,高考英语词汇
overseas,"adv. 在海外，海外
adj. 海外的，国外的",待补充,待补充,高考英语词汇
overtake,"vt. 赶上；压倒；突然来袭
vi. 超车",待补充,待补充,高考英语词汇
owe,"vt. 欠；感激；应给予；应该把……归功于
vi. 欠钱",待补充,待补充,高考英语词汇
owing,"adj. 未付的；欠着的
v. 欠；把…归功于（owe的ing形式）",待补充,待补充,高考英语词汇
own,"vt. 拥有；承认
vi. 承认
adj. 自己的；特有的
n. 自己的",待补充,待补充,高考英语词汇
owner,n.  所有者；物主,待补充,待补充,高考英语词汇
ox,n. 牛；公牛,待补充,待补充,高考英语词汇
oxygen,n.  氧气， 氧,待补充,待补充,高考英语词汇
pace,"n. 一步；步速；步伐；速度
vi. 踱步；缓慢而行
vt. 踱步于；用步测",待补充,待补充,高考英语词汇
Pacific,待补充释义,待补充,待补充,高考英语词汇
pack,"n. 包装；一群；背包；包裹；一副
vt. 包装；压紧；捆扎；挑选；塞满
vi. 挤；包装货物；被包装；群集",待补充,待补充,高考英语词汇
package,"n. 包，包裹；套装软件， 程序包
adj. 一揽子的
vt. 打包；将…包装",待补充,待补充,高考英语词汇
packet,"n. 数据包，信息包；小包，小捆
vt. 包装，打包",待补充,待补充,高考英语词汇
page,"n. 页；记录；大事件，时期；男侍者
vt. 给…标页码
vi. 翻书页，浏览",待补充,待补充,高考英语词汇
pain,"n. 疼痛；努力
vt. 使…痛苦；使…烦恼
vi. 感到疼痛；引起疼痛",待补充,待补充,高考英语词汇
painful,adj. 痛苦的；疼痛的；令人不快的,待补充,待补充,高考英语词汇
