正面 (Word),背面释义 (Definition),例句 (Sentence),词根/助记 (Mnemonic),难度标签 (Tag)
plate,"n. 碟；金属板；金属牌；感光底片
vt. 电镀；给…装甲",待补充,待补充,高考英语词汇
platform,n. 平台；月台，站台；坛；讲台,待补充,待补充,高考英语词汇
play,"n. 游戏；比赛；剧本
vt. 游戏；扮演；演奏；播放；同…比赛
vi. 演奏；玩耍；上演；参加比赛",待补充,待补充,高考英语词汇
player,n. 运动员，比赛者；游戏者，做游戏的人；演奏者，表演者；演员；播放器,待补充,待补充,高考英语词汇
playground,n. 运动场，操场；游乐场,待补充,待补充,高考英语词汇
pleasant,adj. 令人愉快的，舒适的；讨人喜欢的，和蔼可亲的,待补充,待补充,高考英语词汇
please,"int. 请（礼貌用语）
vt. 使喜欢；使高兴，使满意
vi. 讨人喜欢；令人高兴",待补充,待补充,高考英语词汇
pleased,"adj. 高兴的；喜欢的；乐意做某事
v. 满意；愿意（please的过去分词形式）",待补充,待补充,高考英语词汇
pleasure,"n. 快乐；希望；娱乐；令人高兴的事
vt. 使高兴；使满意
vi. 高兴；寻欢作乐",待补充,待补充,高考英语词汇
plentiful,adj. 丰富的；许多的；丰饶的；众多的,待补充,待补充,高考英语词汇
plenty,"n. 丰富，大量；充足
adj. 足够的，很多的
adv. 足够",待补充,待补充,高考英语词汇
plug,"n. 插头；塞子；栓
vt. 插入；塞住；接插头
vi. 塞住；用插头将与电源接通",待补充,待补充,高考英语词汇
plunge,"n. 投入；跳进
vt. 使陷入；使投入；使插入
vi. 突然地下降；投入；陷入；跳进",待补充,待补充,高考英语词汇
plus,"prep. 加，加上
n. 正号，加号；好处；附加额
adj. 正的；附加的",待补充,待补充,高考英语词汇
p.m.,待补充释义,待补充,待补充,高考英语词汇
pocket,"n. 口袋；钱；容器
adj. 小型的，袖珍的；金钱上的
vt. 隐藏；忍受；将…放入衣袋
vi. 形成袋或囊",待补充,待补充,高考英语词汇
poem,n. 诗,待补充,待补充,高考英语词汇
poet,n. 诗人,待补充,待补充,高考英语词汇
poetry,n. 诗；诗意，诗情；诗歌艺术,待补充,待补充,高考英语词汇
point,"n. 要点；得分；标点； 尖端
vt. 指向；弄尖；加标点于
vi. 表明；指向",待补充,待补充,高考英语词汇
poison,"n. 毒药，毒物；酒；有毒害的事物； 抑制剂
adj. 有毒的
vt. 污染；使中毒，放毒于；败坏；阻碍
vi. 放毒，下毒",待补充,待补充,高考英语词汇
poisonous,adj. 有毒的；恶毒的；讨厌的,待补充,待补充,高考英语词汇
pole,待补充释义,待补充,待补充,高考英语词汇
police,"n. 警察，警方；治安
adj. 警察的；有关警察的
vt. 监督；管辖；维持治安；为…配备警察",待补充,待补充,高考英语词汇
policeman,n. 警察，警员； 淀帚（橡皮头玻璃搅棒）,待补充,待补充,高考英语词汇
policy,n. 政策，方针；保险单,待补充,待补充,高考英语词汇
polish,待补充释义,待补充,待补充,高考英语词汇
polite,adj. 有礼貌的，客气的；文雅的；上流的；优雅的,待补充,待补充,高考英语词汇
political,adj. 政治的；党派的,待补充,待补充,高考英语词汇
politician,n. 政治家，政客,待补充,待补充,高考英语词汇
