正面 (Word),背面释义 (Definition),例句 (Sentence),词根/助记 (Mnemonic),难度标签 (Tag)
psychology,n. 心理学；心理状态,待补充,待补充,高考英语词汇
pub,n. 酒馆；客栈,待补充,待补充,高考英语词汇
public,"n. 公众；社会；公共场所
adj. 公众的；政府的；公用的；公立的",待补充,待补充,高考英语词汇
publication,n. 出版；出版物；发表,待补充,待补充,高考英语词汇
publish,"vi. 出版；发行；刊印
vt. 出版；发表；公布",待补充,待补充,高考英语词汇
pudding,n. 布丁,待补充,待补充,高考英语词汇
pull,"n. 拉，拉绳；拉力，牵引力；拖
vt. 拉；拔；拖
vi. 拉，拖；拔",待补充,待补充,高考英语词汇
pullover,"n. 套衫
adj. 套领的",待补充,待补充,高考英语词汇
pump,"n. 泵，抽水机；打气筒
vt. 打气；用抽水机抽…
vi. 抽水",待补充,待补充,高考英语词汇
punch,"n. 冲压机；打洞器；钻孔机
vt. 开洞；以拳重击
vi. 用拳猛击",待补充,待补充,高考英语词汇
punctuation,n. 标点；标点符号,待补充,待补充,高考英语词汇
punish,"vt. 惩罚；严厉对待；贪婪地吃喝
vi. 惩罚",待补充,待补充,高考英语词汇
pupil,n. 学生； 瞳孔；未成年人,待补充,待补充,高考英语词汇
puppy,n. 小狗，幼犬,待补充,待补充,高考英语词汇
purchase,"n. 购买；紧握；起重装置
vt. 购买；赢得
vi. 购买东西",待补充,待补充,高考英语词汇
pure,adj. 纯的；纯粹的；纯洁的；清白的；纯理论的,待补充,待补充,高考英语词汇
purple,"n. 紫色；紫袍
adj. 紫色的；帝王的；华而不实的
vt. 使成紫色
vi. 变成紫色",待补充,待补充,高考英语词汇
purpose,"n. 目的；用途；意志
vt. 决心；企图；打算",待补充,待补充,高考英语词汇
purposeful,adj. 有目的的；有决心的,待补充,待补充,高考英语词汇
purse,"n. (女士)手提袋；(国家、家庭、团体等的) 财力
vt. （嘴巴）皱起，使缩拢；撅嘴",待补充,待补充,高考英语词汇
pursue,"vi. 追赶；继续进行
vt. 继续；从事；追赶；纠缠",待补充,待补充,高考英语词汇
push,"n. 推，决心；大规模攻势；矢志的追求
vi. 推进；增加；努力争取
vt. 推动，增加；对…施加压力，逼迫；按；说服",待补充,待补充,高考英语词汇
put,"n. 掷；笨蛋；投击；怪人
adj. 固定不动的
vi. 出发；击；航行；发芽
vt. 放；表达；移动；安置；赋予",待补充,待补充,高考英语词汇
puzzle,"n. 谜；难题；迷惑
vt. 使…困惑；使…为难；苦思而得出
vi. 迷惑；冥思苦想",待补充,待补充,高考英语词汇
qualification,n. 资格；条件；限制；赋予资格,待补充,待补充,高考英语词汇
qualified,"v. 限制（qualify的过去分词）；描述；授权予
adj. 合格的；有资格的",待补充,待补充,高考英语词汇
qualify,"vi. 取得资格，有资格
vt. 限制；使具有资格；证明…合格",待补充,待补充,高考英语词汇
quality,"n. 质量， 品质；特性；才能
adj. 优质的；高品质的；<英俚>棒极了",待补充,待补充,高考英语词汇
quantity,n. 量，数量；大量；总量,待补充,待补充,高考英语词汇
quarrel,"n. 吵架；反目；怨言；争吵的原因；方头凿
vi. 吵架；争论；挑剔",待补充,待补充,高考英语词汇
