正面 (Word),背面释义 (Definition),例句 (Sentence),词根/助记 (Mnemonic),难度标签 (Tag)
quarter,"num. 四分之一
n. 四分之一；地区；季度；一刻钟；两角五分；节
vt. 将…四等分；供某人住宿
vi. 住宿；驻扎",待补充,待补充,高考英语词汇
queen,"n. 女王，王后；（纸牌中的）皇后；（蜜蜂等的）蜂王
vt. 使…成为女王或王后
vi. 做女王",待补充,待补充,高考英语词汇
question,"n. 问题，疑问；询问；疑问句
vt. 询问；怀疑；审问
vi. 询问；怀疑；审问",待补充,待补充,高考英语词汇
queue,"n. 队列；长队；辫子
vt. 将…梳成辫子；使…排队
vi. 排队；排队等候",待补充,待补充,高考英语词汇
quick,"n. 核心；伤口的嫩肉
adj. 快的；迅速的，敏捷的；灵敏的
adv. 迅速地，快",待补充,待补充,高考英语词汇
quiet,"n. 安静；和平
adj. 安静的；安定的；不动的；温顺的
vt. 使平息；安慰
vi. 平静下来",待补充,待补充,高考英语词汇
quilt,"n. 被子；棉被
vt. 东拼西凑地编；加软衬料后缝制
vi. 缝被子",待补充,待补充,高考英语词汇
quit,"n. 离开； 退出
vt. 离开；放弃；停止；使…解除
adj. 摆脱了…的；已经了结的
vi. 离开；辞职；停止",待补充,待补充,高考英语词汇
quite,adv. 很；相当；完全,待补充,待补充,高考英语词汇
quiz,"n. 考查；恶作剧；课堂测验
vt. 挖苦；张望；对…进行测验",待补充,待补充,高考英语词汇
quote,"n. 引用
vi. 报价；引用；引证
vt. 报价；引述；举证",待补充,待补充,高考英语词汇
race,"n. 属，种；种族，人种；家庭，门第
vt. 使参加比赛；和…竞赛；使急走，使全速行进
vi. 比速度，参加竞赛；全速行进 
 n. 属，种；种族，人种；家庭，门第
vt. 使参加比赛；和…竞赛；使急走，使全速行进
vi. 比速度，参加竞赛；全速行进",待补充,待补充,高考英语词汇
radar,n.  雷达，无线电探测器,待补充,待补充,高考英语词汇
radiation,n. 辐射；发光；放射物,待补充,待补充,高考英语词汇
radio,"n. 收音机；无线电广播设备
vt. 用无线电发送
vi. 用无线电进行通信",待补充,待补充,高考英语词汇
radioactivity,n. 放射性； 放射能力； 放射现象,待补充,待补充,高考英语词汇
radium,n.  镭（88号元素符号Ra）,待补充,待补充,高考英语词汇
rail,"n. 铁轨；扶手；横杆；围栏
vt. 铺铁轨；以横木围栏
vi. 抱怨；责骂",待补充,待补充,高考英语词汇
railway,"n. （英）铁路；轨道；铁道部门
vi. 乘火车旅行",待补充,待补充,高考英语词汇
rain,"n. 雨；下雨；雨天；雨季
vt. 大量地给；使大量落下
vi. 下雨；降雨",待补充,待补充,高考英语词汇
rainbow,"n. 彩虹；五彩缤纷的排列；幻想
adj. 五彩缤纷的；彩虹状的
vt. 使呈彩虹状；如彩虹般装饰
vi. 呈彩虹状",待补充,待补充,高考英语词汇
raincoat,n. （美）雨衣,待补充,待补充,高考英语词汇
rainy,adj. 下雨的；多雨的,待补充,待补充,高考英语词汇
raise,"n. 高地；上升；加薪
vt. 提高；筹集；养育；升起
vi. 上升",待补充,待补充,高考英语词汇
range,"n. 范围；幅度；排；山脉
vt. 漫游；放牧；使并列；归类于；来回走动
vi. （在...内）变动；平行，列为一行；延伸；漫游；射程达到",待补充,待补充,高考英语词汇
rank,"n. 排；等级；军衔；队列
adj. 讨厌的；恶臭的；繁茂的
vt. 排列；把…分等
vi. 列为；列队",待补充,待补充,高考英语词汇
rapid,"n. 急流；高速交通工具，高速交通网
adj. 迅速的，急促的；飞快的；险峻的",待补充,待补充,高考英语词汇
rare,"adj. 稀有的；稀薄的；半熟的
adj. 杰出的；极度的；非常好的
adv. 非常；极其
vi. 用后腿站起；渴望",待补充,待补充,高考英语词汇
rat,"n. 鼠；卑鄙小人，叛徒
vi. 捕鼠；背叛，告密",待补充,待补充,高考英语词汇
rate,"n. 比率，率；速度；价格；等级
vt. 认为；估价；责骂
vi. 责骂；被评价",待补充,待补充,高考英语词汇
