正面 (Word),背面释义 (Definition),例句 (Sentence),词根/助记 (Mnemonic),难度标签 (Tag)
record,"n. 档案，履历；唱片；最高纪录
adj. 创纪录的
vt. 记录，记载；标明；将...录音
vi. 记录；录音",待补充,待补充,高考英语词汇
recorder,n. 录音机；记录器；记录员；八孔直笛,待补充,待补充,高考英语词汇
recover,"n. 还原至预备姿势
vt. 恢复；弥补；重新获得
vi. 恢复；胜诉；重新得球",待补充,待补充,高考英语词汇
recreate,"vt. 再创造；使得到娱乐/消遣
vi. 娱乐；消遣",待补充,待补充,高考英语词汇
recycle,"n. 再生；再循环；重复利用
vt. 使再循环；使…重新利用
vi. 重复利用",待补充,待补充,高考英语词汇
red,"n. 红色，红颜料；赤字
adj. 红色的；红肿的，充血的",待补充,待补充,高考英语词汇
reduce,"vi. 减少；缩小；归纳为
vt. 减少；降低；使处于；把…分解",待补充,待补充,高考英语词汇
refer,"vt. 涉及；委托；归诸于；使…求助于
vi. 参考；涉及；提到；查阅",待补充,待补充,高考英语词汇
reference,"n. 参考，参照；涉及，提及；参考书目；介绍信；证明书
vt. 引用
vi. 引用",待补充,待补充,高考英语词汇
reflect,"vt. 反映；反射，照出；表达；显示;反省
vi. 反射，映现；深思",待补充,待补充,高考英语词汇
reform,"n. 改革，改良；改正
adj. 改革的；改革教会的
vt. 改革，革新；重新组成
vi. 重组；改过",待补充,待补充,高考英语词汇
refresh,"vt. 更新；使……恢复；使……清新；消除……的疲劳
vi. 恢复精神；喝饮料，吃点心；补充给养",待补充,待补充,高考英语词汇
refrigerator,n. 冰箱，冷藏库,待补充,待补充,高考英语词汇
refugee,n. 难民，避难者；流亡者，逃亡者,待补充,待补充,高考英语词汇
refusal,n. 拒绝；优先取舍权；推却；取舍权,待补充,待补充,高考英语词汇
refuse,"n. 垃圾；废物
vi. 拒绝
vt. 拒绝；不愿；抵制",待补充,待补充,高考英语词汇
regard,"n. 注意；尊重；问候；凝视
vi. 注意，注重；注视
vt. 注重，考虑；看待；尊敬；把…看作；与…有关",待补充,待补充,高考英语词汇
regarding,prep. 关于，至于,待补充,待补充,高考英语词汇
regardless,"adj. 不管的；不顾的；不注意的
adv. 不顾后果地；不管怎样，无论如何；不惜费用地",待补充,待补充,高考英语词汇
region,n. 地区；范围；部位,待补充,待补充,高考英语词汇
register,"n. 登记；注册；记录；寄存器；登记簿
vt. 登记；注册；记录；挂号邮寄；把…挂号；正式提出
vi. 登记；注册；挂号",待补充,待补充,高考英语词汇
regret,"n. 遗憾；抱歉；悲叹
vi. 感到后悔；感到抱歉
vt. 后悔；惋惜；哀悼",待补充,待补充,高考英语词汇
regular,"n. 常客；正式队员；中坚分子
adj. 定期的；有规律的；合格的；整齐的；普通的
adv. 定期地；经常地",待补充,待补充,高考英语词汇
regulate,vt. 调节，规定；控制；校准；有系统的管理,待补充,待补充,高考英语词汇
reject,"n. 被弃之物或人；次品
vt. 拒绝；排斥；抵制；丢弃",待补充,待补充,高考英语词汇
relate,"vt. 叙述；使…有联系
vi. 涉及；认同；符合；与…有某种联系",待补充,待补充,高考英语词汇
related,"v. 叙述（relate过去式）
adj. 有关系的，有关联的；讲述的，叙述的",待补充,待补充,高考英语词汇
relation,n. 关系；叙述；故事；亲属关系,待补充,待补充,高考英语词汇
relationship,n. 关系；关联,待补充,待补充,高考英语词汇
relative,"n. 亲戚；相关物； 关系词；亲缘植物
adj. 相对的；有关系的；成比例的",待补充,待补充,高考英语词汇
