正面 (Word),背面释义 (Definition),例句 (Sentence),词根/助记 (Mnemonic),难度标签 (Tag)
run,"n. 奔跑；赛跑；趋向；奔跑的路程
vt. 管理，经营；运行；参赛
vi. 经营；奔跑；运转",待补充,待补充,高考英语词汇
runner,n. 跑步者；走私者；推销员；送信人,待补充,待补充,高考英语词汇
rural,adj. 农村的，乡下的；田园的，有乡村风味的,待补充,待补充,高考英语词汇
rash,"n.  皮疹；突然大量出现的事物
adj. 轻率的；鲁莽的；不顾后果的",待补充,待补充,高考英语词汇
sack,"n. 麻布袋；洗劫
vt. 解雇；把……装入袋；劫掠",待补充,待补充,高考英语词汇
sacrifice,"n. 牺牲；祭品；供奉
vt. 牺牲；献祭；亏本出售
vi. 献祭；奉献",待补充,待补充,高考英语词汇
sad,adj. 难过的；悲哀的，令人悲痛的；凄惨的，阴郁的（形容颜色）,待补充,待补充,高考英语词汇
sadden,"vt. 使悲伤，使难过；使黯淡
vi. 悲哀；悲痛",待补充,待补充,高考英语词汇
safe,"n. 保险箱；冷藏室；纱橱
adj. 安全的；可靠的；平安的",待补充,待补充,高考英语词汇
safety,n. 安全；保险；安全设备；保险装置；安打,待补充,待补充,高考英语词汇
sail,"n. 帆，篷；航行
vi. 航行；启航，开船
vt. 航行",待补充,待补充,高考英语词汇
sailor,n. 水手，海员；乘船者,待补充,待补充,高考英语词汇
sake,n. 目的；利益；理由；日本米酒,待补充,待补充,高考英语词汇
salad,n. 色拉；尤指莴苣,待补充,待补充,高考英语词汇
salary,"n. 薪水
vt. 给...加薪；给...薪水",待补充,待补充,高考英语词汇
sale,n. 销售；出售；拍卖；销售额；廉价出售,待补充,待补充,高考英语词汇
salesman,n. 推销员；售货员,待补充,待补充,高考英语词汇
salt,"n. 盐；风趣，刺激性
adj. 咸水的；含盐的，咸味的；盐腌的；猥亵的
vt. 用盐腌；给…加盐；将盐撒在道路上使冰或雪融化",待补充,待补充,高考英语词汇
salty,adj. 咸的；含盐的,待补充,待补充,高考英语词汇
same,"adj. 相同的；同一的；上述的（通常与the连用）；无变化的
adv. 同样地（通常与the连用）
pron. 同样的事物或人（通常与the连用）",待补充,待补充,高考英语词汇
sample,"n. 样品；样本；例子
adj. 试样的，样品的；作为例子的
vt. 取样；尝试；抽样检查",待补充,待补充,高考英语词汇
sand,"n. 沙；沙地；沙洲；沙滩；沙子
vt. 撒沙于；以沙掩盖；用砂纸等擦平或磨光某物；使撒沙似地布满；给…掺沙子
vi. 被沙堵塞",待补充,待补充,高考英语词汇
sandwich,"n. 三明治；夹心面包
vt. 夹入；挤进；把...做成三明治",待补充,待补充,高考英语词汇
satellite,n. 卫星；人造卫星；随从；卫星国家,待补充,待补充,高考英语词汇
satisfaction,n. 满意，满足；赔偿；乐事；赎罪,待补充,待补充,高考英语词汇
satisfactory,adj. 满意的；符合要求的；赎罪的,待补充,待补充,高考英语词汇
satisfy,"vi. 令人满意；令人满足
vt. 满足；说服，使相信；使满意，使高兴",待补充,待补充,高考英语词汇
sauce,"n. 酱油；沙司；调味汁
vt. 使增加趣味；给…调味",待补充,待补充,高考英语词汇
saucer,n. 茶托，浅碟；浅碟形物；眼睛,待补充,待补充,高考英语词汇
save,"prep. 除...之外
n. 救援
vi. 节省；挽救
vt. 节省；保存；储蓄；解救",待补充,待补充,高考英语词汇
