正面 (Word),背面释义 (Definition),例句 (Sentence),词根/助记 (Mnemonic),难度标签 (Tag)
stupid,"n. 傻瓜，笨蛋
adj. 愚蠢的；麻木的；乏味的",待补充,待补充,高考英语词汇
style,"n. 风格；时尚；类型；字体
vt. 设计；称呼；使合潮流
vi. 设计式样；用刻刀作装饰画",待补充,待补充,高考英语词汇
subconscious,"n. 潜在意识；下意识心理活动
adj. 潜意识的；下意识的",待补充,待补充,高考英语词汇
subject,"n. 主题；科目； 主语；国民
adj. 服从的；易患…的；受制于…的
vt. 使…隶属；使屈从于…",待补充,待补充,高考英语词汇
substance,n. 物质；实质；资产；主旨,待补充,待补充,高考英语词汇
substitute,"n. 代用品；代替者
vi. 替代
vt. 代替",待补充,待补充,高考英语词汇
suburb,n. 郊区；边缘,待补充,待补充,高考英语词汇
subway,"n. 地铁；地道
vi. 乘地铁",待补充,待补充,高考英语词汇
succeed,"vi. 成功；继承；继任；兴旺
vt. 继承；接替；继…之后",待补充,待补充,高考英语词汇
success,n. 成功，成就；胜利；大获成功的人或事物,待补充,待补充,高考英语词汇
successful,adj. 成功的；一帆风顺的,待补充,待补充,高考英语词汇
such,adj. 这样的，如此的,待补充,待补充,高考英语词汇
suck,"n. 吮吸
vt. 吸吮；吸取
vi. 吸吮；糟糕；巴结",待补充,待补充,高考英语词汇
sudden,"n. 突然发生的事
adj. 突然的，意外的；快速的",待补充,待补充,高考英语词汇
suffer,"vi. 遭受，忍受；受痛苦；经验；受损害
vt. 遭受；忍受；经历",待补充,待补充,高考英语词汇
suffering,"n. 受难；苦楚
v. 受苦；蒙受（suffer的ing形式）
adj. 受苦的；患病的",待补充,待补充,高考英语词汇
sufficient,adj. 足够的；充分的,待补充,待补充,高考英语词汇
sugar,"n. 糖；食糖；甜言蜜语
vt. 加糖于；粉饰
vi. 形成糖",待补充,待补充,高考英语词汇
suggest,vt. 提议，建议；启发；使人想起；显示；暗示,待补充,待补充,高考英语词汇
suggestion,n. 建议；示意；微量，细微的迹象,待补充,待补充,高考英语词汇
suit,"n. 诉讼；恳求；套装，西装；一套外衣
vt. 适合；使适应
vi. 合适；相称",待补充,待补充,高考英语词汇
suitable,adj. 适当的；相配的,待补充,待补充,高考英语词汇
suitcase,n.  手提箱；衣箱,待补充,待补充,高考英语词汇
sum,"n. 金额；总数
vt. 总结；合计
vi. 概括",待补充,待补充,高考英语词汇
summarize,"vt. 总结；概述
vi. 作总结；作概括",待补充,待补充,高考英语词汇
summary,"n. 概要，摘要，总结
adj. 简易的；扼要的",待补充,待补充,高考英语词汇
summer,"n. 夏季；全盛时期
adj. 夏季的
vi. 避暑；过夏天",待补充,待补充,高考英语词汇
sun,"n. 太阳
vt. 使晒
vi. 晒太阳",待补充,待补充,高考英语词汇
sunbathe,"n. 日光浴；太阳灯浴
vi. 沐日光浴",待补充,待补充,高考英语词汇
sunlight,n. 日光,待补充,待补充,高考英语词汇
