正面 (Word),背面释义 (Definition),例句 (Sentence),词根/助记 (Mnemonic),难度标签 (Tag)
swift,"n. 褐雨燕
adj. 快的；迅速的；敏捷的；立刻的
adv. 迅速地
n. 苹果公司开创的新款编程语言，应用于iOS 8及以上的应用程序",待补充,待补充,高考英语词汇
swim,"n. 游泳；漂浮；眩晕
adj. 游泳时穿戴的
vi. 游泳；漂浮；浸；眩晕
vt. 游过；使浮起",待补充,待补充,高考英语词汇
swing,"n. 摇摆；摆动；秋千；音律；涨落
adj. 旋转的；悬挂的；强节奏爵士音乐的
vt. 使旋转；挥舞；悬挂
vi. 摇摆；转向；悬挂；大摇大摆地行走",待补充,待补充,高考英语词汇
switch,"n. 开关；转换；鞭子
vi. 转换；抽打；换防
vt. 转换；用鞭子等抽打",待补充,待补充,高考英语词汇
symbol,n. 象征；符号；标志,待补充,待补充,高考英语词汇
symbolize,"vt. 象征；用符号表现
vi. 采用象征；使用符号；作为…的象征",待补充,待补充,高考英语词汇
sympathy,n. 同情；慰问；赞同,待补充,待补充,高考英语词汇
symphony,n. 交响乐；谐声，和声,待补充,待补充,高考英语词汇
symptom,n.  症状；征兆,待补充,待补充,高考英语词汇
synthetic,"n. 合成物
adj. 综合的；合成的，人造的",待补充,待补充,高考英语词汇
system,n. 制度，体制；系统；方法,待补充,待补充,高考英语词汇
table,"n. 桌子；表格；平地层
vt. 制表；搁置；嵌合
adj. 桌子的",待补充,待补充,高考英语词汇
tablet,"n. 碑；药片；写字板；小块；平板电脑
vt. 用碑牌纪念；将(备忘录等)写在板上；将…制成小片或小块",待补充,待补充,高考英语词汇
tag,"n. 标签；名称；结束语；附属物
vt. 尾随，紧随；连接；起浑名；添饰
vi. 紧随",待补充,待补充,高考英语词汇
tail,"n. 尾巴；踪迹；辫子；燕尾服
adj. 从后面而来的；尾部的
vt. 尾随；装上尾巴
vi. 跟踪；变少或缩小",待补充,待补充,高考英语词汇
tailor,"n. 裁缝
vt. 剪裁；使合适
vi. 做裁缝",待补充,待补充,高考英语词汇
take,"vi. 拿；获得
vt. 拿，取；采取；接受（礼物等）；买，花费；耗费（时间等）
n. 捕获量；看法；利益，盈益；（入场券的）售得金额",待补充,待补充,高考英语词汇
tale,n. 故事；传说；叙述；流言蜚语,待补充,待补充,高考英语词汇
talent,n. 才能；天才；天资,待补充,待补充,高考英语词汇
talented,adj. 有才能的；多才的,待补充,待补充,高考英语词汇
talk,"n. 谈话；演讲；空谈
vi. 谈话；说闲话
vt. 说；谈话；讨论",待补充,待补充,高考英语词汇
talkative,adj. 饶舌的；多话的；多嘴的；爱说话的,待补充,待补充,高考英语词汇
tall,"adj. 高的；长的；过分的；夸大的
adv. 夸大地",待补充,待补充,高考英语词汇
tame,"adj. 驯服的；平淡的；乏味的；顺从的
vt. 驯养；使变得平淡；制服
vi. 变得驯服",待补充,待补充,高考英语词汇
tank,"n. 坦克；水槽；池塘
vt. 把…贮放在柜内；打败
vi. 乘坦克行进",待补充,待补充,高考英语词汇
tap,"n. 水龙头；轻打
vt. 轻敲；轻打；装上嘴子
vi. 轻拍；轻击；轻叩
vt. 采用，利用",待补充,待补充,高考英语词汇
tape,"n. 胶带；磁带；带子；卷尺
vt. 录音；用带子捆扎；用胶布把…封住
vi. 用磁带录音",待补充,待补充,高考英语词汇
target,"n. 目标；靶子
vt. 把……作为目标；规定……的指标；瞄准某物",待补充,待补充,高考英语词汇
task,"n. 工作，作业；任务
vt. 分派任务",待补充,待补充,高考英语词汇
taste,"n. 味道；品味；审美
vt. 尝；体验
vi. 尝起来；有…的味道",待补充,待补充,高考英语词汇
