正面 (Word),背面释义 (Definition),例句 (Sentence),词根/助记 (Mnemonic),难度标签 (Tag)
transport,"n. 运输；运输机；狂喜；流放犯
vt. 运输；流放；使狂喜",待补充,待补充,高考英语词汇
transportation,n. 运输；运输系统；运输工具；流放,待补充,待补充,高考英语词汇
trap,"n. 陷阱；圈套； 存水湾
vt. 诱捕；使…受限制；使…陷入困境
vi. 设陷阱",待补充,待补充,高考英语词汇
travel,"n. 旅行；游历；漫游
vt. 经过；在…旅行
vi. 旅行；行进；步行；交往",待补充,待补充,高考英语词汇
traveler,n. 旅行者；旅客；旅行推销员（等于traveller）,待补充,待补充,高考英语词汇
traveller,n. 旅行者,待补充,待补充,高考英语词汇
tray,n. 托盘；文件盒；隔底匣；（无线电的）发射箱,待补充,待补充,高考英语词汇
treasure,"n. 财富，财产；财宝；珍品
vt. 珍爱；珍藏",待补充,待补充,高考英语词汇
treat,"n. 请客；款待
vi. 探讨；请客；协商
vt. 治疗；对待；探讨；视为",待补充,待补充,高考英语词汇
treatment,n. 治疗，疗法；处理；对待,待补充,待补充,高考英语词汇
tree,"n. 树；木料；树状物
vt. 把...赶上树
vi. 爬上树；逃上树",待补充,待补充,高考英语词汇
tremble,"n. 颤抖；战栗；摇晃
vi. 发抖；战栗；焦虑；摇晃
vt. 使挥动；用颤抖的声音说出",待补充,待补充,高考英语词汇
tremendous,adj. 极大的，巨大的；惊人的；极好的,待补充,待补充,高考英语词汇
trend,"n. 趋势，倾向；走向
vt. 使…趋向
vi. 趋向，伸向",待补充,待补充,高考英语词汇
trick,"n. 诡计；恶作剧；窍门；花招；骗局；欺诈
adj. 特技的；欺诈的；有决窍的
vt. 欺骗；哄骗；装饰；打扮
vi. 哄骗；戏弄",待补充,待补充,高考英语词汇
trip,"n. 旅行；绊倒；差错
vt. 绊倒；使犯错
vi. 绊倒；远足；犯错误；轻快地走",待补充,待补充,高考英语词汇
trolley,"n. 手推车；（美）有轨电车（等于trolley car）；（英）无轨电车（等于trolleybus）；空中吊运车
vt. 用手推车运
vi. 乘电车",待补充,待补充,高考英语词汇
trolleybus,n. 无轨电车,待补充,待补充,高考英语词汇
troop,"vt. 把（骑兵）编成骑兵连
vi. 群集；成群而行；结队
n. 军队；组；群；多数",待补充,待补充,高考英语词汇
trouble,"n. 麻烦；烦恼；故障；动乱
vt. 麻烦；使烦恼；折磨
vi. 费心，烦恼",待补充,待补充,高考英语词汇
troublesome,adj. 麻烦的；讨厌的；使人苦恼的,待补充,待补充,高考英语词汇
trousers,n. 裤子，长裤,待补充,待补充,高考英语词汇
truck,"n. 卡车；交易；手推车
adj. （美）运货汽车的
vt. 交易；以卡车运输
vi. 驾驶卡车；以物易物",待补充,待补充,高考英语词汇
true,"n. 真实；准确
adj. 真实的；正确的
vt. 装准
adv. 真实地；准确地",待补充,待补充,高考英语词汇
trunk,"n. 树干；躯干；象鼻；汽车车尾的行李箱
adj. 干线的；躯干的；箱子的
vt. 把…放入旅行箱内",待补充,待补充,高考英语词汇
trust,"n. 信任，信赖；责任；托拉斯
vt. 信任，信赖；盼望；赊卖给
vi. 信任，信赖；依靠",待补充,待补充,高考英语词汇
truth,n. 真理；事实；诚实；实质,待补充,待补充,高考英语词汇
try,"n. 尝试；努力；试验
vt. 试图，努力；试验；审判；考验
vi. 尝试；努力；试验",待补充,待补充,高考英语词汇
tube,"n. 管；电子管；隧道；电视机
vt. 使成管状；把…装管；用管输送
vi. 乘地铁；不及格",待补充,待补充,高考英语词汇
tune,"n. 曲调；和谐；心情
vt. 调整；使一致；为…调音
vi.  调谐；协调",待补充,待补充,高考英语词汇
