正面 (Word),背面释义 (Definition),例句 (Sentence),词根/助记 (Mnemonic),难度标签 (Tag)
tunnel,"n. 隧道；坑道；洞穴通道
vt. 挖；在…打开通道；在…挖掘隧道
vi. 挖掘隧道；打开通道",待补充,待补充,高考英语词汇
turn,"n. 转弯；变化；(损害或有益于别人的)行为，举动，举止
vi. 转向；转变；转动
vt. 转动，使旋转；转弯；翻过来；兑换",待补充,待补充,高考英语词汇
tutor,"n. 导师；家庭教师；助教
vt. 辅导；约束
vi. 当家庭教师；（美）在家庭教师指导下学习",待补充,待补充,高考英语词汇
twice,adv. 两次；两倍,待补充,待补充,高考英语词汇
twin,"n. 双胞胎中一人
adj. 双胞胎的
vt. 使成对
vi. 成对；生双胞胎",待补充,待补充,高考英语词汇
twist,"n. 扭曲；拧；扭伤
vt. 捻；拧；扭伤；编织；使苦恼
vi. 扭动；弯曲",待补充,待补充,高考英语词汇
type,"n. 类型，品种；模范；样式
vt. 打字；测定（血等）类型
vi. 打字",待补充,待补充,高考英语词汇
typewriter,n. 打字机,待补充,待补充,高考英语词汇
typhoon,n.  台风,待补充,待补充,高考英语词汇
typical,adj. 典型的；特有的；象征性的,待补充,待补充,高考英语词汇
typist,n. 打字员，打字者,待补充,待补充,高考英语词汇
tyre,"n.  轮胎；轮箍
vt. 装轮胎于",待补充,待补充,高考英语词汇
UFO,abbr. 不明飞行物（Unidentified Flying Object）,待补充,待补充,高考英语词汇
unidentified flying object,"un. 不明飞行物体；飞碟
 幽浮；不明真相的飞行物；意思是不明飞行物",待补充,待补充,高考英语词汇
ugly,adj. 丑陋的；邪恶的；令人厌恶的,待补充,待补充,高考英语词汇
umbrella,n. 雨伞；保护伞；庇护；伞形结构,待补充,待补充,高考英语词汇
unable,adj. 不会的，不能的； 无能力的；不能胜任的,待补充,待补充,高考英语词汇
unbelievable,adj. 难以置信的；不可信的,待补充,待补充,高考英语词汇
uncle,n. 叔叔；伯父；伯伯；舅父；姨丈；姑父,待补充,待补充,高考英语词汇
unconscious,adj. 无意识的；失去知觉的；不省人事的；未发觉的,待补充,待补充,高考英语词汇
under,"prep. 低于，少于；在...之下
adj. 下面的；从属的
adv. 在下面；在下方",待补充,待补充,高考英语词汇
undergo,vt. 经历，经受；忍受,待补充,待补充,高考英语词汇
underground,"n. 地下；地铁；地道；地下组织；秘密活动；先锋派团体
adj. 地下的；秘密的；先锋派的
adv. 在地下；秘密地",待补充,待补充,高考英语词汇
understand,"vi. 理解；懂得；熟悉
vt. 理解；懂；获悉；推断；省略",待补充,待补充,高考英语词汇
understanding,"n. 谅解，理解；理解力；协议
v. 理解；明白（understand的ing形式）
adj. 了解的；聪明的；有理解力的",待补充,待补充,高考英语词汇
undertake,vt. 承担，保证；从事；同意；试图,待补充,待补充,高考英语词汇
undo,"vt. 取消；解开；破坏；扰乱
vi. 撤消",待补充,待补充,高考英语词汇
unfortunate,adj. 不幸的；令人遗憾的；不成功的,待补充,待补充,高考英语词汇
unhappy,adj. 不快乐的；不幸福的；不适当的,待补充,待补充,高考英语词汇
uniform,"n. 制服
adj. 统一的；一致的；相同的；均衡的；始终如一的
vt. 使穿制服；使成一样",待补充,待补充,高考英语词汇
