正面 (Word),背面释义 (Definition),例句 (Sentence),词根/助记 (Mnemonic),难度标签 (Tag)
union,n. 联盟，协会；工会；联合,待补充,待补充,高考英语词汇
unique,"n. 独一无二的人或物
adj. 独特的，稀罕的； 唯一的，独一无二的",待补充,待补充,高考英语词汇
unit,n. 单位，单元；装置； 部队；部件,待补充,待补充,高考英语词汇
unite,"vi. 团结；联合；混合
vt. 使…混合；使…联合；使…团结",待补充,待补充,高考英语词汇
united,adj. 一致的，统一的；团结的，和睦的,待补充,待补充,高考英语词汇
universal,"n. 一般概念；普通性
adj. 普遍的；通用的；宇宙的；全世界的；全体的",待补充,待补充,高考英语词汇
universe,n. 宇宙；世界；领域,待补充,待补充,高考英语词汇
university,n. 大学；综合性大学；大学校舍,待补充,待补充,高考英语词汇
unknown,"n. 未知数；未知的事物，默默无闻的人
adj. 未知的；陌生的，默默无闻的",待补充,待补充,高考英语词汇
unless,"conj. 除非，如果不
prep. 除…之外",待补充,待补充,高考英语词汇
unlike,"prep. 和…不同，不像
adj. 不同的，不相似的",待补充,待补充,高考英语词汇
until,"prep. 在…以前；到…为止
conj. 在…以前；直到…时",待补充,待补充,高考英语词汇
unusual,adj. 不寻常的；与众不同的；不平常的,待补充,待补充,高考英语词汇
up,"prep. 在…之上；向…的较高处
n. 上升；繁荣
adj. 涨的；起床的；向上的
adv. 起来；上涨；向上",待补充,待补充,高考英语词汇
upon,prep. 根据；接近；在…之上,待补充,待补充,高考英语词汇
upper,adj. 上面的，上部的；较高的,待补充,待补充,高考英语词汇
upright,"n. 垂直；竖立
adj. 正直的，诚实的；垂直的，直立的；笔直的；合乎正道的",待补充,待补充,高考英语词汇
upset,"n. 混乱；翻倒；颠覆
adj. 心烦的；混乱的；弄翻的
vt. 使心烦；颠覆；扰乱
vi. 翻倒",待补充,待补充,高考英语词汇
upstairs,"n. 楼上
adj. 楼上的
adv. 在楼上，向楼上；上楼；往楼上",待补充,待补充,高考英语词汇
up-to-date,adj. 最新的，最近的；现代的，新式的,待补充,待补充,高考英语词汇
upward,"adj. 向上的；上升的
adv. 向上",待补充,待补充,高考英语词汇
urban,adj. 城市的；住在都市的,待补充,待补充,高考英语词汇
urge,"n. 强烈的欲望，迫切要求；推动力
vi. 强烈要求
vt. 力劝，催促；驱策，推进",待补充,待补充,高考英语词汇
urgent,adj. 紧急的；急迫的,待补充,待补充,高考英语词汇
us,pron. 我们,待补充,待补充,高考英语词汇
usage,n. 使用；用法；惯例,待补充,待补充,高考英语词汇
use,"n. 使用；用途；发挥
vt. 利用；耗费
vi. 使用，运用",待补充,待补充,高考英语词汇
used,"v. 用（use的过去式）；（used to）过去常做
adj. 习惯的；二手的，使用过的",待补充,待补充,高考英语词汇
useful,adj. 有用的，有益的；有帮助的,待补充,待补充,高考英语词汇
useless,adj. 无用的；无效的,待补充,待补充,高考英语词汇
