正面 (Word),背面释义 (Definition),例句 (Sentence),词根/助记 (Mnemonic),难度标签 (Tag)
usual,adj. 通常的，惯例的；平常的,待补充,待补充,高考英语词汇
vacant,adj. 空虚的；空的；空缺的；空闲的；茫然的,待补充,待补充,高考英语词汇
vacation,"n. 假期；（房屋）搬出
vi. 休假，度假",待补充,待补充,高考英语词汇
vague,adj. 模糊的；含糊的；不明确的；暧昧的,待补充,待补充,高考英语词汇
valley,n. 山谷；流域；溪谷,待补充,待补充,高考英语词汇
valuable,"n. 贵重物品
adj. 有价值的；贵重的；可估价的",待补充,待补充,高考英语词汇
value,"n. 值；价值；价格；重要性；确切涵义
vt. 评价；重视；估价",待补充,待补充,高考英语词汇
van,"n. 先锋；厢式货车；增值网
vt. 用车搬运",待补充,待补充,高考英语词汇
vapor,"n. 蒸汽；烟雾
vt. 使……蒸发；使……汽化
vi. 蒸发；吹牛；沮丧",待补充,待补充,高考英语词汇
vapour,n. 蒸气（等于vapor）；水蒸气,待补充,待补充,高考英语词汇
variety,n. 多样；种类；杂耍；变化，多样化,待补充,待补充,高考英语词汇
various,adj. 各种各样的；多方面的,待补充,待补充,高考英语词汇
vary,"vi. 变化；变异；违反
vt. 改变；使多样化；变奏",待补充,待补充,高考英语词汇
vase,n. 瓶；花瓶,待补充,待补充,高考英语词汇
vast,"n. 浩瀚；广阔无垠的空间
adj. 广阔的；巨大的；大量的；巨额的",待补充,待补充,高考英语词汇
vegetable,"n. 蔬菜；植物；植物人
adj. 蔬菜的；植物的",待补充,待补充,高考英语词汇
vegetarian,"n. 素食者；食草动物
adj. 素食的",待补充,待补充,高考英语词汇
vegetation,n. 植被；植物，草木；呆板单调的生活,待补充,待补充,高考英语词汇
vehicle,n.  车辆；工具；交通工具；运载工具；传播媒介；媒介物,待补充,待补充,高考英语词汇
venture,"n. 企业；风险；冒险
vt. 敢于
vi. 冒险；投机",待补充,待补充,高考英语词汇
verb,"n. 动词；动词词性；动词性短语或从句
adj. 动词的；有动词性质的；起动词作用的",待补充,待补充,高考英语词汇
very,"adv. 非常，很；完全
adj. 恰好是，正是；甚至；十足的；特有的",待补充,待补充,高考英语词汇
vest,"n. 背心；汗衫
vt. 授予；使穿衣
vi. 归属；穿衣服",待补充,待补充,高考英语词汇
vice versa,"adv. 反之亦然；反过来也一样
 小爸爸大儿子；反过来亦然；反过来的",待补充,待补充,高考英语词汇
victim,n. 受害人；牺牲品；牺牲者,待补充,待补充,高考英语词汇
victory,n. 胜利；成功；克服,待补充,待补充,高考英语词汇
video,"n.  视频；录像，录像机；电视
adj. 视频的；录像的；电视的
v. 录制",待补充,待补充,高考英语词汇
videotape,"n. 录像带
vt. 将…录到录像带上",待补充,待补充,高考英语词汇
view,"n. 观察；视野；意见；风景
vt. 观察；考虑；查看",待补充,待补充,高考英语词汇
vigor,n.  活力，精力,待补充,待补充,高考英语词汇
