正面 (Word),背面释义 (Definition),例句 (Sentence),词根/助记 (Mnemonic),难度标签 (Tag)
vigour,n. 活力；气势,待补充,待补充,高考英语词汇
village,n. 村庄；村民；（动物的）群落,待补充,待补充,高考英语词汇
violence,n. 暴力；侵犯；激烈；歪曲,待补充,待补充,高考英语词汇
violent,adj. 暴力的；猛烈的,待补充,待补充,高考英语词汇
violin,n. 小提琴；小提琴手,待补充,待补充,高考英语词汇
violinist,n. 小提琴演奏者，小提琴家,待补充,待补充,高考英语词汇
virus,n.  病毒；恶毒；毒害,待补充,待补充,高考英语词汇
visa,"n. 签证
vt. 签发签证",待补充,待补充,高考英语词汇
visible,"n. 可见物；进出口贸易中的有形项目
adj. 明显的；看得见的；现有的；可得到的",待补充,待补充,高考英语词汇
vision,"n. 视力；美景；眼力；幻象；想象力；幻视（漫威漫画旗下超级英雄）
vt. 想象；显现；梦见",待补充,待补充,高考英语词汇
visit,"n. 访问；参观；逗留
vt. 访问；参观；视察
vi. 访问；暂住；闲谈",待补充,待补充,高考英语词汇
visitor,n. 访问者，参观者；视察者；候鸟,待补充,待补充,高考英语词汇
vital,adj. 至关重要的；生死攸关的；有活力的,待补充,待补充,高考英语词汇
vitamin,n.  维生素； 维他命,待补充,待补充,高考英语词汇
vivid,adj. 生动的；鲜明的；鲜艳的,待补充,待补充,高考英语词汇
vocabulary,n. 词汇；词表；词汇量,待补充,待补充,高考英语词汇
vocation,n. 职业；天职；天命；神召,待补充,待补充,高考英语词汇
voice,"n. 声音；嗓音；发言权；愿望
vt. 表达；吐露",待补充,待补充,高考英语词汇
volleyball,n. 排球,待补充,待补充,高考英语词汇
volume,"n. 量；体积；卷；音量；大量；册
adj. 大量的
vt. 把…收集成卷
vi. 成团卷起",待补充,待补充,高考英语词汇
volunteer,"n. 志愿者；志愿兵
adj. 志愿的
vt. 自愿
vi. 自愿",待补充,待补充,高考英语词汇
vote,"n. 投票，选举；选票；得票数
vi. 选举，投票
vt. 提议，使投票；投票决定；公认",待补充,待补充,高考英语词汇
voyage,"n. 航行；航程；旅行记
vt. 飞过；渡过
vi. 航行；航海",待补充,待补充,高考英语词汇
wage,"n. 工资；代价；报偿
vt. 进行；开展
vi. 进行；发动；从事",待补充,待补充,高考英语词汇
waist,n. 腰，腰部,待补充,待补充,高考英语词汇
wait,"n. 等待；等候
vi. 等待；耽搁；伺候用餐
vt. 等候；推迟；延缓",待补充,待补充,高考英语词汇
waiter,n. 服务员，侍者,待补充,待补充,高考英语词汇
waitress,"n. 女服务员；女侍者
vi. 做女服务生",待补充,待补充,高考英语词汇
wake,"n. 尾迹；守夜；守丧
vt. 叫醒；激发
vi. 醒来；唤醒；警觉",待补充,待补充,高考英语词汇
waken,"vt. 唤醒；使觉醒
vi. 醒来；觉醒",待补充,待补充,高考英语词汇
