正面 (Word),背面释义 (Definition),例句 (Sentence),词根/助记 (Mnemonic),难度标签 (Tag)
whether,"conj. 是否；不论
pron. 两个中的哪一个",待补充,待补充,高考英语词汇
which,"adj. 哪一个；哪一些
pron. 哪/那一个；哪/那一些",待补充,待补充,高考英语词汇
whichever,"adj. 无论哪个；无论哪些
pron. 任何一个；无论哪个",待补充,待补充,高考英语词汇
while,"conj. 虽然；然而；当……的时候
n. 一会儿；一段时间
vt. 消磨；轻松地度过",待补充,待补充,高考英语词汇
whip,"n. 鞭子；抽打；车夫； 搅拌器
vt. 抽打；煽动；搅打（蛋，奶油）；彻底击败
vi. 抽打；急走；拍击",待补充,待补充,高考英语词汇
whisper,"n. 私语；谣传；飒飒的声音
vi. 耳语；密谈；飒飒地响
vt. 低声说出",待补充,待补充,高考英语词汇
whistle,"n. 口哨；汽笛；呼啸声
vt. 吹口哨；鸣汽笛",待补充,待补充,高考英语词汇
white,"n. 白色；洁白；白种人
adj. 白色的；白种的；纯洁的",待补充,待补充,高考英语词汇
white-haired,adj. 白发的；浅色头发的；受宠爱的,待补充,待补充,高考英语词汇
who,pron. 谁；什么人,待补充,待补充,高考英语词汇
whoever,"pron. 无论谁；任何人
n. 《爱谁谁》（电影名）",待补充,待补充,高考英语词汇
whole,"n. 整体；全部
adj. 完整的；纯粹的",待补充,待补充,高考英语词汇
whom,pron. 谁（who的宾格）,待补充,待补充,高考英语词汇
whose,pron. 谁的（疑问代词）,待补充,待补充,高考英语词汇
why,"int. 哎呀！什么？
adv. 为什么",待补充,待补充,高考英语词汇
wide,"n. 大千世界
adj. 广泛的；宽的，广阔的；张大的；远离目标的
adv. 广泛地；广阔地；充分地",待补充,待补充,高考英语词汇
widely,adv. 广泛地,待补充,待补充,高考英语词汇
widespread,adj. 普遍的，广泛的；分布广的,待补充,待补充,高考英语词汇
width,n. 宽度；广度,待补充,待补充,高考英语词汇
wife,n. 妻子，已婚妇女；夫人,待补充,待补充,高考英语词汇
wild,"n. 荒野
adj. 野生的；野蛮的；狂热的；荒凉的
adv. 疯狂地；胡乱地",待补充,待补充,高考英语词汇
wilderness,n. 荒地；大量，茫茫一片,待补充,待补充,高考英语词汇
wildlife,"n. 野生动植物
adj. 野生动植物的",待补充,待补充,高考英语词汇
will,"n. 意志；决心；情感；遗嘱；意图；心愿
vt. 决心要；遗赠；用意志力使
vi. 愿意；下决心
aux. 将；愿意；必须",待补充,待补充,高考英语词汇
willing,"adj. 乐意的；自愿的；心甘情愿的
v. 决心；用意志力驱使；将（财产等）遗赠某人（will的现在分词）",待补充,待补充,高考英语词汇
win,"n. 赢；胜利
vt. 赢得；在…中获胜；劝诱
vi. 赢；获胜；成功",待补充,待补充,高考英语词汇
wind,"vi. 缠绕；上发条；吹响号角
n. 风；呼吸；气味；卷绕
vt. 缠绕；上发条；使弯曲；吹号角；绕住或缠住某人",待补充,待补充,高考英语词汇
window,n. 窗；窗口；窗户,待补充,待补充,高考英语词汇
wine,"n. 酒，葡萄酒；紫红色
vt. 请…喝酒
vi. 喝酒",待补充,待补充,高考英语词汇
wing,"n. 翼；翅膀；飞翔；派别；侧厅，耳房，厢房
vt. 使飞；飞过；空运；增加…速度；装以翼
vi. 飞行",待补充,待补充,高考英语词汇
