正面 (Word),背面释义 (Definition),例句 (Sentence),词根/助记 (Mnemonic),难度标签 (Tag)
worst,"n. 最坏；最坏的时候
adj. 最差的，最坏的；最不利的；效能最低的
adv. 最坏地；最不利地",待补充,待补充,高考英语词汇
worth,"n. 价值；财产
adj. 值…的",待补充,待补充,高考英语词汇
worthless,adj. 无价值的；不值钱的；卑微的,待补充,待补充,高考英语词汇
worthwhile,adj. 值得做的，值得花时间的,待补充,待补充,高考英语词汇
worthy,"n. 杰出人物；知名人士
adj. 值得的；有价值的；配得上的，相称的；可尊敬的；应…的",待补充,待补充,高考英语词汇
would,"aux. 将，将要；愿意
v. will的过去式",待补充,待补充,高考英语词汇
wound,"n. 创伤，伤口
vt. 使受伤
vi. 受伤，伤害",待补充,待补充,高考英语词汇
wrap,"n. 外套；围巾
vt. 包；缠绕；隐藏；掩护
vi. 包起来；缠绕；穿外衣",待补充,待补充,高考英语词汇
wrapping,"n. 包装纸，包装材料
v. 裹住（wrap的ing形式）
adj. 包装用的",待补充,待补充,高考英语词汇
wreck,"n. 破坏；失事；残骸；失去健康的人
vt. 破坏；使失事；拆毁
vi. 失事；营救失事船只",待补充,待补充,高考英语词汇
wrinkle,"n. 皱纹
vi. 起皱
vt. 使起皱纹",待补充,待补充,高考英语词汇
write,"vi. 写，写字；写作，作曲；写信
vt. 写，书写；写信给；著述",待补充,待补充,高考英语词汇
writer,n. 作家；作者,待补充,待补充,高考英语词汇
wrong,"n. 坏事；不公正
adj. 错误的；失常的；不适当的
vt. 委屈；无理地对待；诽谤
adv. 错误地；邪恶地，不正当地",待补充,待补充,高考英语词汇
X-ray,待补充释义,待补充,待补充,高考英语词汇
yard,"n. 院子；码（英制中丈量长度单位，1码=3英尺）；庭院；帆桁
vt. 把…关进或围在畜栏里",待补充,待补充,高考英语词汇
year,n. 年；年度；历年；年纪；一年的期间；某年级的学生,待补充,待补充,高考英语词汇
yearly,"n. 年刊；年鉴
adj. 每年的
adv. 每年；一年一次",待补充,待补充,高考英语词汇
yellow,"n. 黄色；黄种人；黄色颜料
adj. 黄色的；黄皮肤的
vt. 使变黄或发黄
vi. 变黄或发黄",待补充,待补充,高考英语词汇
yes,"n. 是（表示肯定）
adv. 是, 是的",待补充,待补充,高考英语词汇
yesterday,"n. 昨天；往昔
adv. 昨天",待补充,待补充,高考英语词汇
yet,"conj. 但是；然而
adv. 还；但是；已经",待补充,待补充,高考英语词汇
yoghourt,n. 酸奶；酵母乳；酸奶酪,待补充,待补充,高考英语词汇
yoghurt,n. 酸奶（等于yoghourt）；酸乳酪,待补充,待补充,高考英语词汇
yogurt,n. 酸奶酪， 酸乳（等于yoghurt）,待补充,待补充,高考英语词汇
you,pron. 你；你们,待补充,待补充,高考英语词汇
young,"n. 年轻人；（动物的）崽，仔
adj. 年轻的；初期的；没有经验的",待补充,待补充,高考英语词汇
youngster,n. 年轻人；少年,待补充,待补充,高考英语词汇
your,pron. 你的，你们的,待补充,待补充,高考英语词汇
yours,"pron. 你（们）的东西；你的责任；你的家属；来信，尊函
adj. 你（们）的（东西）；信末署名前用语",待补充,待补充,高考英语词汇
